session_id,worker_id,order_id,norm_order_id,model,prompt,elapsed_time,num_queries,num_events,acceptance,model_completion,final_sentence,edit_model_final_token,edit_model_final_char,apt,specific,imageable,overall
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,2,0.11,Davinci,life,0.15,0,35,,,Life is like a box of chocolates.,7,33,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,3,0.17,Davinci,life,0.08,0,29,,,Life is a game of monopoly.,6,27,0.0,0.5,0.5,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,4,0.22,Davinci,life,0.46,1,79,100.0,I'm ready to start playing by the rules.,"Life is a game, and I'm ready to start playing by the rules.",5,20,1.0,0.5,1.0,0.8333333333333334
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,5,0.28,Davinci,life,0.13,1,17,100.0,Life is a game of chance.,Life is a game of chance.,0,0,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,6,0.33,Davinci,life,0.21,0,60,,,Life is determined by the strongest players.,7,44,1.0,0.5,1.0,0.8333333333333334
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,7,0.39,Davinci,life,0.38,1,65,100.0,The pieces are in play.,Life is a game where the pieces are in play and always moving.,10,40,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,8,0.44,Davinci,life,0.15,1,25,100.0,He won at life.,He won at the game of life.,3,12,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,9,0.5,Davinci,life,0.29,1,51,100.0,The rules of the game can be changed.,"Life is a game, but the rules can be changed.",6,19,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,10,0.56,Davinci,life,0.23,1,35,100.0,The next move is up to you.,Life is a game and the next move is up to you.,6,20,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,11,0.61,Davinci,life,0.15,1,25,100.0,You win some and lose some.,You win some and lose some in life.,3,8,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,12,0.67,Davinci,life,0.35,2,55,100.0,It's our job to play to win.,It's our job to play to win in this game called Life.,6,25,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,13,0.72,Davinci,life,0.15,1,24,100.0,Nobody wins all the time.,Nobody wins all the time in life.,3,8,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,14,0.78,Davinci,life,0.12,1,13,100.0,"If you lose concentration, you'll be checkmated.","If you lose concentration, you'll be checkmated.",0,0,1.0,0.5,1.0,0.8333333333333334
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,15,0.83,Davinci,life,0.19,1,22,100.0,It's my game to play.,My life is my game to play.,3,9,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,16,0.89,Davinci,life,0.21,1,31,100.0,"If I don't get the ball, I'm going home.","If I don't get the ball this lifetime, I'm going home.",3,14,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,17,0.94,Davinci,life,0.14,1,9,100.0,It's a competitive world out there.,It's a competitive world out there.,0,0,1.0,0.5,1.0,0.8333333333333334
19da2035279f4beb96d654315597b5ea,ca8f171d201e05ab91f1f9c21ec5de41,0,0.0,Davinci,life,6.28,1,176,100.0,"Sometimes it feels like life is a game, but it's a game you can't win.","You have to be humble in life, and then play it even though you don't always win .",17,53,1.0,1.0,1.0,1.0
19da2035279f4beb96d654315597b5ea,ca8f171d201e05ab91f1f9c21ec5de41,1,0.2,Davinci,life,1.17,1,129,100.0,It is difficult to play with a handicap.,"It is difficult to play the rules of life, but you still have to master them.",11,45,1.0,0.5,1.0,0.8333333333333334
19da2035279f4beb96d654315597b5ea,ca8f171d201e05ab91f1f9c21ec5de41,2,0.4,Davinci,life,1.08,2,174,50.0,The first step is to kill your fear,"You have to face every obstacle in life, and the first step is to kill your fear.",11,47,0.5,0.5,0.0,0.3333333333333333
19da2035279f4beb96d654315597b5ea,ca8f171d201e05ab91f1f9c21ec5de41,3,0.6,Davinci,life,1.47,1,87,100.0,It is pointless to risk everything for the sake of a game.,"You have to treasure everything in life, and it is pointless to risk everything for the sake of a game.",9,46,1.0,1.0,0.5,0.8333333333333334
19da2035279f4beb96d654315597b5ea,ca8f171d201e05ab91f1f9c21ec5de41,4,0.8,Davinci,life,1.33,1,145,100.0,I've finally figured out the rules.,"I've finally figured out the rules of life, and will follow them as much as possible in order to be a winner in life.",19,82,1.0,0.5,1.0,0.8333333333333334
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,0,0.0,Jumbo,progress,2.53,1,63,100.0,The choreography was nice.,Progress requires careful choreography.,4,32,,,,
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,1,0.1,Jumbo,progress,1.18,4,89,25.0,We're always dancing to a changing tune.,Progress requires always adjusting to a changing tune.,3,19,,,,
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,2,0.2,Jumbo,progress,0.7,1,66,100.0,You must stay in sync with your social group.,Progress means staying in sync with life's changes.,6,27,0.5,1.0,0.5,0.6666666666666666
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,3,0.3,Jumbo,progress,0.45,1,42,100.0,"That move was graceful, but it lacks rhythm.","Progress can graceful, but it can also lack rhythm.",6,21,0.5,0.0,0.5,0.3333333333333333
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,4,0.4,Jumbo,progress,0.46,1,57,100.0,We aren't dancing to the same beat.,Progress takes many people moving to the same beat.,5,24,,,,
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,5,0.5,Jumbo,progress,1.14,4,79,33.0,We've still got a few steps before we get to where we want to be.,Progress requires carefully synched steps before we get to where we want to be.,5,29,1.0,1.0,1.0,1.0
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,6,0.6,Jumbo,progress,0.57,1,70,100.0,I'll lead and I'll follow.,Progress requires some partners to lead and others to follow.,7,43,,,,
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,7,0.7,Jumbo,progress,1.91,7,128,29.0,The dancers were in unison.,Progress has multiple partners all moving in unison.,6,33,1.0,1.0,1.0,1.0
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,8,0.8,Jumbo,progress,1.46,5,121,20.0,Shall we tango?,"Progress can be a stately waltz, or it can be a frantic tango.",13,51,,,,
6ce746e3539341158345ad78fdbba2b5,4e1012899a3f6dbeb511b28f69fc4de7,9,0.9,Jumbo,progress,1.09,3,82,33.0,These two dance partners don't seem to know how to follow the beat.,Progress is only possible when you know how to follow the beat.,7,30,1.0,1.0,1.0,1.0
5aedf26f952b457aa9941dd698b9460a,11b8946a60dd71196cd76f5f49851574,0,0.0,InstructBabbage,theory,1.18,1,86,0.0,,"Theories are buildings.

Theories are the scaffold around a building",10,68,,,,
5aedf26f952b457aa9941dd698b9460a,11b8946a60dd71196cd76f5f49851574,1,0.17,InstructBabbage,theory,0.69,0,72,,,"Theories are buildings.

Theories are the structural steel holding up the creation..",12,84,0.5,1.0,1.0,0.8333333333333334
5aedf26f952b457aa9941dd698b9460a,11b8946a60dd71196cd76f5f49851574,2,0.33,InstructBabbage,theory,0.49,1,64,,,"Theories are buildings.

Theories are the structural steel of a developed product.",12,82,0.0,0.5,1.0,
5aedf26f952b457aa9941dd698b9460a,11b8946a60dd71196cd76f5f49851574,3,0.5,InstructBabbage,theory,0.95,1,46,100.0,"In order to build a theory, you first have to start with a question.","Theories are buildings.
 
Theories are the answer to a question.",11,37,0.0,0.0,0.0,
5aedf26f952b457aa9941dd698b9460a,11b8946a60dd71196cd76f5f49851574,4,0.67,InstructBabbage,theory,0.43,0,75,,,"Theories are buildings.

Theories, like buildings are built brick by brick.",11,75,1.0,1.0,1.0,1.0
5aedf26f952b457aa9941dd698b9460a,11b8946a60dd71196cd76f5f49851574,5,0.83,InstructBabbage,theory,0.58,0,55,,,"Theories are buildings.

If the theory is solid then the results stand.",12,71,0.5,1.0,1.0,0.8333333333333334
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,0,0.0,Davinci,idea,0.54,1,15,100.0,That idea will take root.,That idea will take root.,0,0,,,,
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,1,0.08,Davinci,idea,0.09,0,35,,,Ideas spring up from our minds.,6,31,,,,
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,2,0.15,Davinci,idea,0.11,1,16,100.0,An idea needs to be nourished if it is to grow.,An idea needs to be nourished if it is to grow.,0,0,,,,
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,3,0.23,Davinci,idea,0.08,0,37,,,Water your ideas to make them grow.,7,35,,,,
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,4,0.31,Davinci,idea,0.2,1,39,100.0,Let me plant the idea in his mind.,Allow me to plant the idea in someone's mind.,3,16,,,,
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,5,0.38,Davinci,idea,0.11,0,50,,,Ideas take root and spring up.,6,30,1.0,1.0,1.0,1.0
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,6,0.46,Davinci,idea,0.25,1,43,100.0,My ideas blossomed in his mind.,The ideas blossom overtime.,5,15,1.0,1.0,1.0,1.0
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,7,0.54,Davinci,idea,0.22,1,20,100.0,Her words have taken root in my mind.,The words have taken root in my mind.,1,3,,,,
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,8,0.62,Davinci,idea,0.33,1,83,100.0,Let's plant the seeds of new ideas.,New ideas require a seed to help them grow.,9,30,1.0,1.0,1.0,1.0
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,9,0.69,Davinci,idea,0.39,1,69,0.0,,The thoughts are buried only to sprout later.,8,45,,,,
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,10,0.77,Davinci,idea,0.17,1,14,100.0,What are you growing in your mind?,What are you growing in your mind?,0,0,1.0,1.0,1.0,1.0
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,11,0.85,Davinci,idea,0.77,1,12,100.0,Let these thoughts grow deep roots.,Let these thoughts grow deep roots.,0,0,1.0,1.0,1.0,1.0
8d89244ecdb44c549458fd63c321ad15,1e1f5577348f76027d7884815297109a,12,0.92,Davinci,idea,0.55,1,13,100.0,He chose to water that seed of an idea.,He chose to water that seed of an idea.,0,0,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,0,0.0,InstructBabbage,life,2.76,0,233,,,"Life is a contest with winners and losers.
Life isn't always fair, because the rules don't always apply equally.
Life involves going around in circles sometimes.
Life is equal parts skill and chance.",33,199,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,1,0.06,InstructBabbage,life,0.2,0,30,,,Life has winners and losers.,5,28,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,2,0.12,InstructBabbage,life,0.29,0,54,,,Life sometimes involves going around in circles.,7,48,1.0,1.0,1.0,1.0
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,3,0.18,InstructBabbage,life,0.47,0,101,,,"The rules of life aren't always applied equally, so life isn't always fair.",13,75,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,4,0.24,InstructBabbage,life,0.22,0,46,,,"In life, you have to play the hand you draw.",10,44,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,5,0.29,InstructBabbage,life,0.45,0,93,,,You can't quit life in the middle of it; everyone has to see it through both ups and downs.,19,91,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,6,0.35,InstructBabbage,life,0.31,0,52,,,No one gets out of life without facing challenges.,9,50,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,7,0.41,InstructBabbage,life,0.5,1,82,0.0,,The one who starts in the best position isn't always the winner in life.,14,72,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,8,0.47,InstructBabbage,life,0.45,0,89,,,Sometimes a simple twist of fate turns a loser into a winner in life.,14,69,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,9,0.53,InstructBabbage,life,0.41,0,112,,,"You don't get to choose the challenges you face in life, you just have to figure out how to overcome them.",21,106,1.0,1.0,1.0,1.0
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,10,0.59,InstructBabbage,life,0.21,0,42,,,Life is equal parts skill and chance.,7,37,1.0,1.0,0.5,0.8333333333333334
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,11,0.65,InstructBabbage,life,0.19,0,45,,,Life is a contest with winners and losers.,8,42,1.0,0.5,1.0,0.8333333333333334
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,12,0.71,InstructBabbage,life,0.27,0,75,,,Sometimes the best strategy in life is to wait for your rivals to fail.,14,71,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,13,0.76,InstructBabbage,life,0.35,0,81,,,"Life is a gamble, but no one wins without taking at least some chances.",14,71,0.5,0.5,1.0,0.6666666666666666
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,14,0.82,InstructBabbage,life,0.48,0,86,,,"You can blame the cards you're dealt in life, but you still have to play them.",16,78,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,15,0.88,InstructBabbage,life,0.31,0,56,,,You have to take turns in life and wait for your turn.,12,54,,,,
ce3ca23373624c4980bd65bca0558427,5f016d0d9d7fedb61139db7b2be77edb,16,0.94,InstructBabbage,life,0.41,0,68,,,"In life, you don't always win the prize you desire or deserve.",12,62,,,,
f57b1b8c1a08454485d9163db78bc076,3f2765d5dac00b20a3159dc6f1432f53,0,0.0,InstructDavinci,idea,0.98,1,90,0.0,,Nurture an idea with the waters of creativity and imagination and it'll grow.,13,77,1.0,1.0,1.0,1.0
f57b1b8c1a08454485d9163db78bc076,3f2765d5dac00b20a3159dc6f1432f53,1,0.17,InstructDavinci,idea,0.33,1,53,0.0,,My idea withered away due to lack of attention.,9,47,1.0,0.5,0.5,0.6666666666666666
f57b1b8c1a08454485d9163db78bc076,3f2765d5dac00b20a3159dc6f1432f53,2,0.33,InstructDavinci,idea,0.55,2,70,0.0,,Ideas take time to grow into their mature forms.,9,48,1.0,1.0,1.0,1.0
f57b1b8c1a08454485d9163db78bc076,3f2765d5dac00b20a3159dc6f1432f53,3,0.5,InstructDavinci,idea,0.36,0,65,,,Ideas often spring offshoots composed of new ideas.,8,51,1.0,1.0,1.0,1.0
f57b1b8c1a08454485d9163db78bc076,3f2765d5dac00b20a3159dc6f1432f53,4,0.67,InstructDavinci,idea,0.49,0,33,,I need to water that thought.,I need to water that thought for it to grow.,5,15,,,,
f57b1b8c1a08454485d9163db78bc076,3f2765d5dac00b20a3159dc6f1432f53,5,0.83,InstructDavinci,idea,0.54,1,78,0.0,,The seed of an idea may eventually blossom into a beautiful creation,12,68,1.0,1.0,1.0,1.0
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,0,0.0,Jumbo,theory,1.13,1,51,100.0,His theory lacks a solid foundation.,Theories can't stand without a solid foundation.,4,23,1.0,1.0,1.0,1.0
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,1,0.11,Jumbo,theory,1.05,1,74,100.0,His theory is a pile of rubble.,Failed theories litter the past like so many piles of rubble.,9,33,,,,
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,2,0.22,Jumbo,theory,1.06,2,87,100.0,His theory has become a fortress.,"The strongest of theories cease to be a house, and become a fortress.",10,40,,,,
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,3,0.33,Jumbo,theory,1.26,1,144,100.0,We need to tear down the faulty scaffolding before we can continue construction.,"For theories to move forward, we must tear down any faulty scaffolding before continuing construction.",10,44,,,,
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,4,0.44,Jumbo,theory,0.7,1,63,100.0,That theory of yours is no match for my edifice of facts.,Even the most well constructed theory is no match for an edifice of facts.,7,29,1.0,0.5,1.0,0.8333333333333334
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,5,0.56,Jumbo,theory,1.38,5,139,60.0,We will systematically tear your theories down.,Sometimes theories must be torn down so that new ones can be constructed.,13,57,1.0,1.0,1.0,1.0
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,6,0.67,Jumbo,theory,0.79,1,125,100.0,Construction of that theory will take years.,Construction of a truly useful theory can take the lifetimes of many generations of builders.,11,57,1.0,1.0,1.0,1.0
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,7,0.78,Jumbo,theory,1.43,3,142,67.0,Her argument is a high-rise.,"A complicated theory is as difficult to construct, and easy to demolish, as a high-rise.",12,65,,,,
935bff283311452db68b7fed6a4ed108,4e1012899a3f6dbeb511b28f69fc4de7,8,0.89,Jumbo,theory,1.87,6,173,33.0,The construction is subtle and sophisticated.,Sometimes the best theories have the simplest construction.,8,44,1.0,1.0,1.0,1.0
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,0,0.0,InstructBabbage,theory,1.44,1,51,100.0,"The more theories you have, the more complex your network of theories becomes.","The more theories you have, the more complex your network of theories becomes as each one builds on the other.",8,32,1.0,0.5,0.5,0.6666666666666666
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,1,0.09,InstructBabbage,theory,0.58,1,15,100.0,It will take a lot of hard work and study to build a hypothetically perfect theory.,It will take a lot of hard work and study to build a hypothetically perfect theory.,0,0,,,,
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,2,0.18,InstructBabbage,theory,0.75,1,31,100.0,You can't build a tower without a foundation.,You can't build a theory without a foundation.,1,4,,,,
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,3,0.27,InstructBabbage,theory,1.73,1,90,0.0,,"The more you know, the taller the theory is.",9,44,0.0,0.5,0.0,
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,4,0.36,InstructBabbage,theory,0.87,1,93,0.0,,A theory is complicated as you add several layers of truth.,11,59,,,,
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,5,0.45,InstructBabbage,theory,0.64,1,11,100.0,What kind of theories can you build if you don't have a foundation?,What kind of theories can you build if you don't have a foundation?,0,0,,,,
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,6,0.55,InstructBabbage,theory,0.79,1,30,100.0,"If we don't build them, someone will.","If we don't build the theories, someone will.",2,9,,,,
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,7,0.64,InstructBabbage,theory,0.7,1,57,100.0,Make sure you're building something good.,Make sure you're building something good when you are stacking up your theories.,8,39,0.5,0.5,0.5,0.5
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,8,0.73,InstructBabbage,theory,0.63,1,15,100.0,Theories are the foundation of our knowledge.,Theories are the foundation of our knowledge.,0,0,,,,
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,9,0.82,InstructBabbage,theory,0.9,1,84,100.0,You can't build a theory without tests.,"You can't build a theory without tests, much like a building needs tests to test it's structure.",11,57,0.5,1.0,1.0,0.8333333333333334
785c4e6cac0042f683b96c1297000f18,1e1f5577348f76027d7884815297109a,10,0.91,InstructBabbage,theory,0.58,1,13,100.0,"We can't just demolish these theories overnight, they need time to calm down and be rebuilt.","We can't just demolish these theories overnight, they need time to calm down and be rebuilt.",0,0,1.0,1.0,1.0,1.0
646c1435b6014f37984be8ddb07f0128,96b19ae60136ad20bd29e974a88e29ab,0,0.0,Jumbo,idea,1.26,0,76,,,A small idea can grow into a massive undertaking.,9,49,,,,
646c1435b6014f37984be8ddb07f0128,96b19ae60136ad20bd29e974a88e29ab,1,0.17,Jumbo,idea,1.33,1,80,0.0,,Allowing an inkling of an idea to bloom can show great results.,12,63,1.0,0.5,1.0,0.8333333333333334
646c1435b6014f37984be8ddb07f0128,96b19ae60136ad20bd29e974a88e29ab,2,0.33,Jumbo,idea,1.28,1,67,0.0,,Shining a light on an idea will help it grow.,10,45,1.0,1.0,1.0,1.0
646c1435b6014f37984be8ddb07f0128,96b19ae60136ad20bd29e974a88e29ab,3,0.5,Jumbo,idea,0.83,1,75,100.0,The author has ideas sprouting from his imagination.,Using one's imagination can sprout many new ideas.,8,42,1.0,1.0,1.0,1.0
646c1435b6014f37984be8ddb07f0128,96b19ae60136ad20bd29e974a88e29ab,4,0.67,Jumbo,idea,0.93,1,76,0.0,,A good idea can bloom into a brilliant idea over time.,11,54,1.0,1.0,1.0,1.0
646c1435b6014f37984be8ddb07f0128,96b19ae60136ad20bd29e974a88e29ab,5,0.83,Jumbo,idea,0.5,1,30,100.0,Cultivating an idea is like watering a plant.,Cultivating an idea is similar to watering a plant.,2,9,1.0,1.0,1.0,1.0
0b4b1032e90c4246a0eebf393c1549c4,4e1012899a3f6dbeb511b28f69fc4de7,0,0.0,InstructBabbage,life,1.21,2,70,50.0,You win or you lose.,"In life, sometimes you win and sometimes you lose.",6,32,,,,
0b4b1032e90c4246a0eebf393c1549c4,4e1012899a3f6dbeb511b28f69fc4de7,1,0.1,InstructBabbage,life,1.17,3,121,100.0,We'll just have to play it to the end.,Life can be played however you want; the only rule is that you have to play it to the end.,13,55,,,,
0b4b1032e90c4246a0eebf393c1549c4,4e1012899a3f6dbeb511b28f69fc4de7,2,0.2,InstructBabbage,life,2.13,9,139,11.0,"If we can't play the game, we can't win.","The only hard rule in life is that if you can't play the game, you can't win.",11,42,,,,
0b4b1032e90c4246a0eebf393c1549c4,4e1012899a3f6dbeb511b28f69fc4de7,3,0.3,InstructBabbage,life,0.95,1,37,100.0,time is the only card we have,"When we play at life, time is the only card we have",5,22,1.0,1.0,1.0,1.0
0b4b1032e90c4246a0eebf393c1549c4,4e1012899a3f6dbeb511b28f69fc4de7,4,0.4,InstructBabbage,life,1.5,5,119,40.0,"There's no getting around it, we're going to have to play this game or else.","Even if you don't like the rules of life,  you're going to have to play sooner or later.",13,46,1.0,0.5,1.0,0.8333333333333334
0b4b1032e90c4246a0eebf393c1549c4,4e1012899a3f6dbeb511b28f69fc4de7,5,0.5,InstructBabbage,life,0.54,1,39,100.0,"You can't win, you can only play.","You can't really win at life, you can only play.",4,15,1.0,1.0,1.0,1.0
0b4b1032e90c4246a0eebf393c1549c4,4e1012899a3f6dbeb511b28f69fc4de7,6,0.6,InstructBabbage,life,1.19,3,125,33.0,"If we're going to play this game, we might as well make it an enjoyable one.","Since you have no choice but to play by the rules of life, you might as well make it an enjoyable contest.",13,45,1.0,1.0,1.0,1.0
0b4b1032e90c4246a0eebf393c1549c4,4e1012899a3f6dbeb511b28f69fc4de7,7,0.7,InstructBabbage,life,0.29,1,25,100.0,The only way to win is to play to your full potential.,The only way to win at life is to play to your full potential.,2,8,1.0,1.0,1.0,1.0
