Timestamp,Please enter your worker ID,Please enter the verification code you received from the interface ,"Independent of its fluency, how helpful was having access to the AI Assistant compared to not having access?",How easy was it to interact with the AI Assistant?,How clear (or fluent) were the responses from the AI Assistant?,What adjectives would you use to describe the AI Assistant?,"Did the way you chose to interact with the AI Assistant change over the course of answering questions? If so, how?",Any feedback or comments?,Why did you find the AI Assistant helpful  or unhelpful? 
4/4/2022 21:08:34,c331aaf634eaabe85c231625e26b206f,6ce2677128434776a80ea997b5986cdb,2,5,2,"Helpful, encyclopedic, verbose, stuttering","As I interacted with the AI Assistant, I wanted more verification that the answer that I was given was correct and so I started to rephrase questions to see if I could verify the answer. It did stumble a few times and kept on repeating a phrase and that left me a little frustrated and impatient. When that occurred, I was more likely to use my intuition to find an answer rather than keep hacking away at the AI to produce an answer. ","Just a minor comment but after I finished and I went back to grab the verification code, it gave a warning about switching tabs. It could be useful to disable that after the conclusion of the quiz.",
4/5/2022 10:40:32,ed226866a3a2795b6130580395304c59,f5aca410155640a09c608b878dc4fecd,5,5,4,competent,"For the most part, no. It did its job, and it was up to me to tailor my questions to derive an answer that was logical and informative. The AI seemed flexible and understood the given task well. ",The task was fun and fairly interesting. ,
4/5/2022 11:29:45,22a6f94933ca2210d69c2d3ea7495a7b,79a6db7b732649549de44e19bba73f00,5,4,5,"Precise, knowledgeable ","Yes, if the answers wasn't precise. I had to reword or add more words to the query",none,
4/5/2022 13:54:53,ecdd55cfdfcaf0ad97cb2c5d97858b64,a8b8c672cf804f00911a42628b6ae91f,4,3,4,helpful,"it seemed to work better when I asked about components directly, rather than repeating the question.",,
4/6/2022 19:30:43,50cf5b6618c9e86da22b0e88774f8496,2b8dd0d380a547358960d9b6d17ab3fd,2,1,2,"stupid, unresponsive","I tried different methods throughout, but none seemed to work well.",,
4/7/2022 1:28:33,0f7d6f4052f57a322678fe3206cc4d8d,abf749abb4cf445eb58a9b75d8a55845,5,5,5,Straight forward blinders clear Simple manuevered,Yes i realized i needed like a key phrase and then something to help identify it overall.,None,
4/7/2022 1:37:21,6b5518acd4dc8c79c224b0dea125dfa1,73529f11a1d5420d83a2b0e16f39d321,3,2,2,"confused, nonsensical, erratic","It seemed the AI was prone to give a seeming correct answer when I used a fill in the blank type of sentence. I tried to use this method for all of the questions the AI was a choice, but it only worked for a few of them. It seemed to have gotten worse as I went on. I couldn't get it to work with the blank sentence or different variations of questions.",,
4/7/2022 8:42:04,6c2ac4176185fecc42a306fd10658044,b65a12974bbd463c856c23227ac66ebf,4,3,4,"versatile, smart, knowledgeable",I don't know. It seemed that it was better not to stray too far from the wording of the original question.,no,
4/7/2022 8:47:23,f334271f83f56153b35b0d7eabc2c593,A1NIKHUA79SWGD,3,5,4,Wishy-washy,"I would try multiple different ways of asking it the same question in order to see if its answers would change, or if I would get the same answer, so I could know if it was true or not.",,
4/7/2022 9:29:55,461eb9aef2c2dbd0cd0d054bbb5a2d03,3fe65df1bf9b410990720aa788677106,5,4,4,Smart,"Yes, I copied an pasted the question in the AI after the second question.","I clicked off one time and then read where it said don't click off, so sorry about that, it only happened once!",
4/15/2022 17:06:45,96b19ae60136ad20bd29e974a88e29ab,0ab43fe7e859449bbadb95cd10e03d38,4,5,5,"useful, simple","No, I just used the terms I thought would get a good result each, although I did learn to choose better terms as I went.",thanks,It was helpful if you were able to use the right terms in the question to search with.
4/16/2022 18:20:32,28b662ded694876967260ccb5db75895,0f0bd1330bfb4c6eb2814bb887ca44c5,2,3,2,"inaccurate, confused.",I tried to format my sentence to try and be more specific.,Everything worked well outside of the answers from the AI.,It would answer in gibberish most of the time.
4/17/2022 13:25:22,8d48c2ee0596126c8f36408fb15b7a8a,2f7dde74d77248369b66c7cda73fdf84,1,1,4,"slow, unresponsive, unhelpful, distracting, useless",No. I felt more confident using my own reasoning methods to find answers. ,no,I was not fast and it hung for me so I never got any responses.
4/26/2022 22:27:12,57e0a3221f057e7324a484be0e75a67e,https://www.mturkcontent.com/dynamic/hit?assignmentId=3X73LLYYQ28MTLVAGLTWWGEPMMPNHH&amp;hitId=3R6RZGK0XF6I11WF29EA4D7DHNBVYA&amp;workerId=A3HE29W5IDR394&amp;turkSubmitTo=https%3A%2F%2Fwww.mturk.com',3,4,4,"surprising, unusual, inexperienced, cooperative, responsive","I discovered early on that boolean logic was not something the assistant was comfortable using. I decided to stop grouping my answer options and switched to two alternatives. First, providing answer options one at a time to see if any exact matches come up. The second was to list all answer options as a list. I forget if I used a space or comma separator ","I was not sure whether quotes were acceptable for searches because I did not feel they had a place in natural communication. I do not know if they impact the results of the search, just a thought I had. ","The assistant was useful for finding information that I did not have. The help came mostly with simple factual inquiries (e.g., year of authorship, define list of food commodities, water content of fat, water content of muscle). 

The assistant was less helpful in certain cases of trivial questions that I would have expected to come easy. For example, I was able to retrieve the number of internet users of India in 2017 and I was able to retrieve the total population of India in 2017. The question responses needed a percentage, and I felt there were two responses  that were within range  from my estimation, but neither seemed correct. I was unable to get an answer for a simple arithmetic inquiry (402/1324). Now that I am reflecting, I wonder if I would have had greater success with replacing the punctuation with the worded long form, 402 divided by 1324."
5/1/2022 0:42:21,07f320faed67b2aece0fb3bde1f87998,8434d034071949b79db23d85002cce53,5,5,4,"Smart, helpful, useful",I started to get an idea of how to ask questions. I would learn how to better ask them and how to make myself more understandable.,No.,It at least gave me hints if not the whole answer when used.
5/1/2022 0:46:19,4cc14c46cbd6625508879475c8faba2c,59ec24e2e28e4817b70bf7ce228e52f3,4,5,4,"fast, handy, knowledgeable","No, it responded appropriately to my first questions so I stuck with the same format.",Thank you!,The AI assistant quickly provided details about specific things I mentioned and responded to different types of phrasing.
5/1/2022 0:49:50,97015de7c03d7318af400145a2e053ae,363fb4ee28dd4933b1f87f0dc774115e,4,5,5,"Selfless, knowledgeable ","My way of interacting with the AI Assistant did change over time. At first, I would phrase my query like a question in a linear, straightforward fashion. Later on, I would re-arrange words in my query, so that I could force the AI to provide the answer I was looking for in a more confident manner. ",I enjoyed interacting with the AI in this task and had a lot of fun.,"I found the AI Assistant helpful because it assured me to a certain degree that I was choosing the correct answer. It basically removed a lot of the doubt in my own knowledge, as to whether or not I knew the answer with a certain level of confidence. It felt like having a friend or teacher there to reciprocate. It was a little unhelpful because the AI Assistant did not specify if the answer was correct or not. It did not discuss with me if the other answers were the incorrect at all."
5/1/2022 0:51:03,cb9564a86f8e811b6767152bd6bf090c,b80196f4d703479db0201462deb24f9d,5,5,4,"Helpful, competent, knowledgeable.","The AI was good at understanding my question and giving me a clear answer almost every time, so while I initially tried to confirm its answers, I grew to trust it more and more as time went on.  Unfortunately, halfway through, the AI was understandably disabled for the one attention check question, but it remained disabled thereafter.  I don't know if that was by design, but obviously, this meant that I had to rely on either my own knowledge, or on educated guesses for the last half of the quiz.",,"For the most part, the AI helped me to answer questions that I would not have known the answers to, or would not have been fully confident in my prior knowledge about.  However, on the question about vitamin supplements, the AI gave me conflicting answers depending on how I phrased my question.  And after the attention check, the AI was disabled, which may or may not have been intentional."
5/1/2022 0:57:03,ca8f171d201e05ab91f1f9c21ec5de41,8510ed90b15444a497e870a1802fc1c2,5,5,4,"clever, quick, effective","Yes, I changed the style of my questions.",no.,I found the AI helpful because it understood most of my questions and gave a trustable answer.
5/1/2022 1:06:35,3f2765d5dac00b20a3159dc6f1432f53,6bcc9a9b5a9140b3bbbde1487e764b95,5,4,5,"helpful, clear, useful",nope!  I just reworded the question usually and that seemed to work well.,,"The handful of questions I didn't know the answer to, it very clearly and mostly concisely provided the info needed "
5/1/2022 1:09:26,8e9d2087b37a3bd7ec2e61d57fef253c,d683561ccbd54f2dbf74196b4c06b501,5,5,5,"accurate, thorough, useful","When the AI didn't return the exact answer I was looking for, I modified the question using the information the AI gave when answering my initial question. The AI was then able to give me the answer that fit what I was looking for on the second try.",I had to switch tabs once to re-read the instructions for interacting with the AI.,The AI was very accurate when answering the question. It gave the exact answers I was looking for.
5/1/2022 1:33:17,41c9f58c5311a41acc6fff3c3c189610,f921d698ca234ebfb4548f8f42206d81,4,5,5,"Helpful, inconsistent, knowledgeable, useful","In the beginning, I was able to ask straightforward queries directly from the questions. As time went on, I found myself needing to reformulate the questions, and ultimately rely on my own intuition as the AI became unavailable.",,"In general, the AI assistant was helpful because it provided clear and easy to understand answers. However, for certain questions, the responses were not directly related, even after reformulation of the query."
5/1/2022 2:39:32,d77d60e197e1bd06f21d78aef779b54c,a9dfcb631dc94b889fabb0820b44450e,5,5,4,"quick, efficient, smart","no, but providing a list of answers to choose from allowed the AI to provide the correct answer quickly.",,I was able to get almost all the answers quickly and easily with the AI
5/1/2022 3:49:25,af3f7188d260a53a70617fe04b0ede2f,2038a724c2a744a2803bc3b8999bc2f4,4,5,2,responsive,"no, I followed what it said in the instructions.","I had to quit out the first time so I could re-read the instructions because it was a bit confusing at first, but overall not to bad at all.","If type correctly, it could find answers I would have had no clue how to answer. It was confusing to learn how to use at first and I had to read the instructions a couple of times, but in the end I think I get it."
5/1/2022 4:27:50,1e6a88420b942084b82e6758f73315f8,ad545b3bd4ff492ea43166be813ebcd4,5,5,4,"quick, clear, easy, reliable",no,no,"Except for one of the questions, it gave me an answer that matched the options and that seemed to make sense."
5/1/2022 4:40:43,43dc2879c3decdcc3010feb25653b969,fdb64a1f552346098ed834f908199a3a,3,4,2,"Slow learning, inaccurate, confused",Yes - I tried to change my wording to get it to understand the needs of my questions and began to simplify what I was asking of it.,,It often did not seem to understand what I was asking and gave me results that did not even match the options in the multiple choice questions.
5/1/2022 4:50:33,ddb694ab7e8cbbcdc1f8c144d35a4bb0,9f98fbc3f44b452b86c8e2f1cdfd3b1d,3,3,3,"Rigid, repetitive, unsure, quick.","I struggled, at first, to create questions that it was able to give me a response that I needed, later I felt I got better at structuring questions that allowed it to give me the response I was looking for.  ","The way I had to input questions, in the end, felt a little unnatural.","Even when I included all the four possible answers I was given an option that was not included.  I was also unsure of one answer that I got from several differently formatted questions.  I am certain that meats is associated with urbanization and growth in incomes, but the AI kept giving me Fruits and vegetables..  I answered as the AI indicated."
5/1/2022 5:30:25,c6d5a13aeb1f43ff4724a28a95505338,c80084debaa642219d45d7d10598b72a,4,4,5,"helpful, fast, thorough, smart ","not so much, I just tried to ask the question in a brief way that was similar to the text. I made sure to choose the words that mattered.",This is my second time doing this task and I believe the system was much better this time. I could be mistaken but it was actually kind of impressive.,"very helpful, I would have been lost without them. I did not know the answers really to any for sure but the system always had valid info I could use to answer. Except one question, I answered on accidet without asking the system. I hope you can over look that one."
5/1/2022 5:39:58,02fe4addc3d80015a47dc2539391ba93,3a8abcacfcbf4dc1bf5dfbc4091e449b,5,5,4,"helpful, useful, efficient, intelligent","I think that I got better at asking specific questions, rather than trying to get information from a more general knowledge type question. I began to learn how to dissect the passage, to root out the information that I was looking for. It was easier to work with the AI, as I got better at pinpointing the information that I needed from the passage.",,"The AI was helpful when I posed the question correctly, to find the answer I was looking for. It was more difficult for me to be clear, when I didn't understand a complex question very well and I had to re-read the question to find a logical way to ask the AI for an answer to my question. When I understood the question clearly, and therefore knew how to pose my question to the AI, the AI reliably answered my question. The AI was extremely helpful but I was restricted by my limited understanding of the material."
5/1/2022 6:06:55,dc73505099bca8ee5514c3eefdca4916,b620220ce15f400fa605c3ab96637785,4,4,4,"speedy, smart, undecided ",no i wanted to interact over all the questions. ,,some of the questions i found the assistant to be very helpful with and some not 
5/1/2022 6:08:30,8d48c2ee0596126c8f36408fb15b7a8a,95960fe03c9f46889909d11d7abc4247,5,5,4,"responsive, helpful",no change,no,The AI assistant was responsive and gave responses that were informative.
5/1/2022 6:14:43,34a6c2bc151b3162c8158f48bda8c603,746f930efac446ca85dced2e12945b0f,5,5,5,"Thorough, convincing, helpful, professional",I changed the wrong slightly when it gave me the obviously wrong answer,I enjoyed it! Very useful for trivia!,"It had detailed and professionally written information about various chemical and biological interaction, that were convincingly plausible. "
5/1/2022 6:43:31,5491b18afebc855a23b30ebe312f81e8,0b84eae6a231448aa471011ef263b380,5,5,5,"smart, quick, efficient","I tried to ask questions without leading too much, then I tried to narrow it down by providing some of the choices available. ",This was interesting and I enjoyed it. Everything went smoothly and I never had to wait too long for the AI Assistant to come up with an answer.,It gave me answers that made sense most of the time. It seemed to understand what I was trying to find out.
5/1/2022 7:07:18,7d5db56fea7ec3a3d8788b2fbd0e7c15,8af639dcf02e4e65ac1f456784de1c0a,5,5,4,"helpful, precise",It didn't really. I think I got a good hold of the way to interact with it in an efficient manner.,no,"Mostly, because the questions I had to respond to were beyond my knowledge (other than the question about the UN)"
5/1/2022 7:51:22,b544f1b08cda68d4a328958398b4173b,95cacc7d883d4a158d5a08a05ddbb5af,5,5,5,"Helpful, Intelligent, Quick, Smart","I asked a basic question and if it didn't provide me with the answer the first time, I asked another more detailed question.",This was a really interesting Hit. Thank you!,It answered my questions very quickly. It was extremely helpful!
5/1/2022 8:19:09,5f016d0d9d7fedb61139db7b2be77edb,0eb5c69dd32c47638a7fc0d14e0ad3d0,4,4,5,"reliable, competent, responsive","I tried just copy-pasting the provided question to see if the AI would give a clear answer, and I tried inserting different answer options if the first attempt didn't yield a clear answer.","I did an earlier version of this task months ago, I believe. I looked for an instruction prohibiting a possible re-take, but didn't find any. Of course, the questions were different.","I was unfamiliar with many of these topics and would have had to guess. In most cases, the AI provided a fairly clear answer just by copy-pasting part of the question text into the box to ask for AI help. In a small number of cases, it was harder to find the desired answer or to decide what to ask the AI to narrow down its answers."
5/1/2022 8:53:03,f4046292f4f79e6d06ae7386fe779c32,dd6fa69dbcfb485fa63b7aef57f95a59,5,5,5,"helpful, clear, knowledgeable","No, I don't think so. The answers I was given were relevant, so it at least appeared that the way I was asking things was working. Sometimes I asked follow up questions to eliminate other possibilities, but that was something I did throughout, rather than a change.",The AI was straightforward and easy to interact with.,"The answers were reasonably aligned with what I asked, and they seemed to be accurate based on my existing knowledge and with the multiple choice answers available to me. They were clearly written."
5/1/2022 8:55:25,1e1f5577348f76027d7884815297109a,98af21133f414330bcb04e5a8b1497f1,2,4,3,"ignorant, distrustful, confused","yes, I ended up trying to get several answers from it at once",n/a,They gave conflicting answers too often
5/1/2022 9:15:47,11c58d49972d7e0363017954352a5398,d448f22c342b4bffaf057fdc35eb2d3f,5,5,5,"helpful, clear, trustworthy","At first I thought that the assistant needed to have very specific questions, but I realized the questions that were asked were quite easy for the assistant w/out my interference. I did try and specify questions when the answer that came back made sense, but didn't apply to any of the answer choices I had.",I wasn't expecting to be unable to use the ai assistant after the attention check.,The AI Assistant was able to give me clear answers in most cases that I was able to use it
5/1/2022 11:13:56,eb7023cacba007ef5df2282a3bda0f86,ef078804f40244b8ae8954c12b358fb3,4,3,4,"Efficient, quick, inconsistent, timely","No, I tried to follow the directions from the HIT.",Thank you!,Some of the questions the AI Assistant was able to answer but some of them they just either repeated my question or gave irrelevant information
5/1/2022 12:15:54,f0b7bf81cff0f7f15757c1ac7f8ae746,4971206f47f74aa6b62e029576b0ba27,2,2,1,broken,"Yes, when it was unable to generate a response I stopped using it after it failed twice.",,The AI assistant only showed errors when I asked it a question.
5/1/2022 13:36:44,6877d61eb192732b50ffa9cff649104e,e7dcb7a179f24291949dcbe8e056befb,1,1,1,"buggy, laggy",I stopped trying to use it after the first failed attempt.,,It lagged terribly and never answered.
5/1/2022 16:27:34,4e1012899a3f6dbeb511b28f69fc4de7,35a29bb877a04a9b85eb6ab56d0e10bb,1,1,1,"Slow, broken, malfunctioning","Not really, as indicated before, there's no real way to interact with it at present. I typed a couple of prompts, it bugged out, and I had to move on.",No.,"It's not currently functional; all it does at the moment is produce a spinning wheel indicating it's working, and then this error message:

HTTPSConnectionPool(host='crfm-models.stanford.edu', port=443): Max retries exceeded with url: /api/request?auth=%7B%22api_key%22%3A+%22rz6o8tsXf7Fj0T3Ydd6LBBtHmR1ObBKe%22%7D&request=%7B%22model%22%3A+%22openai%2Ftext-davinci-001%22%2C+%22prompt%22%3A+%22Additional+dietary+protein+may+increase+risk+of+what%3F%5Cn%22%2C+%22temperature%22%3A+0.5%2C+%22num_completions%22%3A+1%2C+%22top_k_per_token%22%3A+1%2C+%22max_tokens%22%3A+100%2C+%22stop_sequences%22%3A+%5B%5D%2C+%22echo_prompt%22%3A+false%2C+%22top_p%22%3A+1.0%2C+%22presence_penalty%22%3A+0.0%2C+%22frequency_penalty%22%3A+0.0%2C+%22random%22%3A+%2254753%22%7D (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f61517ce580>: Failed to establish a new connection: [Errno 110] Connection timed out'))
"
5/1/2022 21:10:33,4455389e51c490d7126cd4c048a03c66,bd665412940841169218a45eef54d6de,1,1,1,"Unhelpful, broken, inadequate, useless, malfunctioning","I found myself less inclined to use the AI assistant as I found it was not providing me any help. I knew that the AI assistant no matter what I wrote in the text box would not provide any answer for me, and that it would be fruitless to try to use it to help me answer a question.","I am not certain if the AI assistant was not functioning as intended or if it was possibly malfunctioning, I attempted to use the AI assistant whenever I was given the choice with the hope that it would help me in some way to answer the questions.","The AI assistant would not provide me any answers whenever it was available to me for a given question. No matter what I wrote in the textbox, the AI assistant would not produce a response that would help me answer the question. I ultimately had to answer the questions with my own previous knowledge, and or sometimes make an informed guess."
5/10/2022 16:57:07,1e1f5577348f76027d7884815297109a,bef4fe951fd240ce80ebe96419ee78df,5,5,4,"helpful, easy, intelligent, knowledgeable",no,n/a,Helpful for the most part- I asked the same question several times to get variants in the answers and picked the closest one.
5/10/2022 17:06:52,9cab0b70602ada54d34062999dfc98d7,42db869711b548d581fd1eabf6202919,5,4,5,"smart, concise","Yes, I didn't need it until the last 2 questions and it provided great answers",,it answered my questions so great
5/10/2022 17:07:10,69b5bd578e167ff21e624417b3a5c44e, 4af8c4c5f20b435c9d8b02b1104092dd,5,5,5,"easy, useful",I trusted that it was understanding me more and more.,no,helpful
5/10/2022 17:07:36,d36fe703f1189117a8acc76e3d2bae58,19c4644751d44088b202023adcface85,5,4,4,"responsive, useful, helpful, knowledgable","No, I varied my approach when I needed to but I was straightforward at the start of each question",none,"It answered all my questions eventually, as far as I know"
5/10/2022 17:12:21,5491b18afebc855a23b30ebe312f81e8,f18afd30c59b47fba70a52fac3a694d6,2,5,3,"easy, frustrating, clueless","I tried to make my questions specific enough to help, but it didn't work very well. So I tried to make my questions simple as well. I think I tried something different for each question to find what would work.","No, I gave it all in the question above.",A lot of the time the AI Assistant just repeated my question and any clues I gave it.
5/10/2022 17:19:58,cb9564a86f8e811b6767152bd6bf090c,c6a6b80875ea495ca1dde828cfccb608,5,4,4,"Helpful, useful, competent.","My interactions did not change by choice, but I had to stop using the AI halfway through.  Immediately after an attention check question, the AI remained disabled until the end.",,The AI was able to give me answers to several questions that I would have otherwise had to guess at.  
5/10/2022 17:20:47,89a78d3c80359f21033b807b61a9abcf,4cb664d199054a0c96e94482ca65bf90,4,5,4,"intuitive, easy, fast","No, I just put in questions in different forms to try to get answers if they wouldn't come up at first.",Everything worked fine.,It could give me info that I didn't know and could get me in the ballpark if I was completely clueless about a subject even if it didn't give me exactly what I was looking for.
5/10/2022 17:21:12,5673add8aa8dd1d805dc884c15bdf6bf,dd4b689dc735448da4e62e2416c2677e,4,5,5,"clear, accurate, intelligent, helpful","Not over the questions themselves, but sometimes I submitted the exact same question twice and got slight variations in the answer. One was usually more concise than the other.","No, thank you.","It could give me definitions and facts I didn't know myself. Sometimes it wasn't able to give me a definitive answer saying things like ""it depends on the situation"" ""or it is a complicated situation but generally"" which is fair given they were complicated questions. "
5/10/2022 17:22:03,b544f1b08cda68d4a328958398b4173b,f3ddf272a9e14b26ae0db34e07498dc0,4,5,5,"Helpful, Intelligent, Fast","It was typically able to give me the right answer after I asked one question. If not, I changed the question slightly and it gave me the correct answer.",The AI Assistant was really helpful. This was an interesting task - thank you! ,It was extremely helpful for questions that I didn't know the answer to. 
5/10/2022 17:23:55,38a898008ab333281df60be41f6ce283,b9449cf724cc4919bcd3c9e18ff3ed00,4,5,4,"Reliable, knowledgeable and helpful",No,The AI was fun to use and helpful too!,I found it fairly helpful in answering my questions. There were some questions that it couldn't answer but it did manage to answer a lot of them.
5/10/2022 17:29:08,ddb694ab7e8cbbcdc1f8c144d35a4bb0,ade5d40c44ae44b1997ec3be0a66c4bb,4,3,4,"Structured, helpful, responsive, quick, reliable.","The examples on the HIT page outline a way to navigate for the best response, basically it is giving the four options for the system to sort through.  Some questions it is easier to have a plainer query, but for the most part you have to include a lot of information in the posed question.",n/a,Once a method for inputting the question is found it typically will give a response that it of use.
5/10/2022 17:29:31,d74b72ee1918df1c10196a7064f0f849,d3a143333585496ba3fdebaa8b84206d,4,5,5,"efficient, understandable, helpful",I did find myself trying to refine questions several times if I wasn't sure of the answer it was giving me,,It was very helpful for about 3/5 of the questions. Others I either knew the answer or had difficulty gleaning a final answer from the questions I posed
5/10/2022 17:31:31,4f79c3ae884ab24ae11c80ad424a8a5e,a8f79fd67d3744c481b9a5a6fd52706e,5,5,4,"Helpful, informative, fast thinking, competent, intelligent","Not really, I just tailored my questions that I asked the AI Assistant based on which information I needed to answer a specific question.","Interesting, and different hit. I wish I had the AI Assistant's help for that last question as I was wavering between two different answers.",I found the AI Assistant to be very helpful.
5/10/2022 17:35:57,08056b6e8b97845359fe858b973d8948,701936f89bf24c2fa7f608790e4042f4,5,4,4,Dependable but somewhat picky. ,"Yes, I tried a few question formats and found that simply repeating the question followed by the answer choices (but not preceded by the answer choices) worked so I continued to do that. ","""AI assistant is disabled for this question."" message appeared from question 7 onwards (after the attention check), I answered those myself. ",The AI gave direct answers to the questions once I found the question format that works for it. 
5/10/2022 17:46:03,8e9d2087b37a3bd7ec2e61d57fef253c,63946d516d714985844eb2d0387b4967,5,5,5,"helpful, knowledgeable ",I used the AI in the same way throughout the study,,The AI was able to provide me with the answers to the questions I asked in a coherent and concise manner
5/10/2022 17:47:26,3f2765d5dac00b20a3159dc6f1432f53,bb837bc6d5a74d7eaf56cd170d28be02,5,4,5,"Helpful, useful, responsive",Nope!,,"It gave pretty clear answers to every question posed to it, or at least ones that made it much easier to narrow answers down."
5/10/2022 17:47:49,4cc14c46cbd6625508879475c8faba2c,fdccc84c3ef047bf81e9f6f1c0dcc493,3,5,4,"swift, handy, convenient",Used less filler words and mostly keywords without good grammar,Thank you,It helped to rule out certain options according to dates
5/10/2022 18:37:43,036f36dab73af612da0a4d5e38c32638,e928bcc2e716466c8de239264eb2be8e,5,4,5,"Fast, succinct, knowledgeable ",I started with more open-ended questions and narrowed the scope of the questions to get the answer I wanted faster.,,I was able to ask the AI questions until I could deduce the right answer.
5/10/2022 18:38:49,4e1012899a3f6dbeb511b28f69fc4de7,506ad440b2b0416eab7c95ea36e9bf2f,4,5,4,"fast, efficient, basic","Well, if it wasn't able to answer an open ended question (basically in the same form as the prompt) I would ask it individual questions to explore the possibility of each item being correct.",Not really.,"In every case but one, it either knew the answer, or gave me enough information to figure out the likely answer."
5/10/2022 19:19:32,ca8f171d201e05ab91f1f9c21ec5de41,826478c7843c44c2918ac813e0f29fb8,4,5,4,"efficient, logical","Yes, I sometimes used my preferred answer to query the AI to get a final confirmation.",I didn't switch to other page but the pop-up said I did.,Some of the questions were difficult and I couldn't pick the answer without AI's help.
5/10/2022 19:47:40,eb7023cacba007ef5df2282a3bda0f86,8b7fd6d2ad44473f85be6d75fefd11a7,5,5,4,"Conventional, robotic, computer",I didn't change the way I interacted with the assistant over time.,Thank you!,I didn't find the AI Assistant that helpful. Most of the questions the AI Assistant disabled
5/10/2022 20:15:07,7d5db56fea7ec3a3d8788b2fbd0e7c15,eff5f8e872d3477bb3255db9dbf190c8,5,5,4,Helpful precise easy-to-use,"It did not really. Most of the questions where I was allowed to use AI were different, so there was no learning curve for me that would enable me to be more efficient, as I progressed through the survey.",None,The questions were quite difficult and I would have been quite lost without an AI help.
5/10/2022 20:18:08,43dc2879c3decdcc3010feb25653b969,8d2a73af9c33420899ac04f3e8d16c9a,4,5,4,"fluent, easy, knowledgeable",I tried to simplify my answers at times,,"I found it helpful because on the majority of questions, it knew what I was looking for and gave me an answer close to that."
5/10/2022 22:26:38,c2a31bea49dcb741878879c23a3ae6ba,4d56f99e31744335b6fc72cc5b4a0a2c,5,5,4,"helpful, interesting, intelligent","Yes, my questions got more direct",,Helpful in some respects but I had to submit some questions twice and once it would not give me an answer that was one of the options so that question was probably wrong
5/10/2022 23:37:51,97015de7c03d7318af400145a2e053ae,afa6a0bca606404d939a78c2c401d8c0,4,5,5,intelligent and quick,"It did change over the course of answering questions because I tried to reword the question, so that the AI could have some help in finding the correct solution from a set of choices. I felt that it might take longer if I did not provide some help to the AI in finding solutions.",,"I found the AI assistant to be helpful in 4 out of the 5 questions where the AI was available to me for help, but it was not able to find the correct answer in one of the questions. I tried rephrasing the question in many ways to get the right answer, but the AI was not able to provide a good answer. Overall, the AI was helpful in finding the solutions in most cases."
5/11/2022 0:13:14,07f320faed67b2aece0fb3bde1f87998,21b08db448974fe59ec533ac3d26a851,5,5,5,"Smart, quick, knowledgeable",I would stop asking it the questions directly and start to break up my queries to help piece together an answer or to answer it little by little.,No.,"It seemed to help me with the answers, or to at least eliminate some of them."
5/11/2022 3:04:46,f3cce8c83fed3f1d9216ea35efa1d765,000dc2393b854047a00caad996a7dce5,5,5,4,"smart, helpful, always ready","I trusted it more and so I did not have to ""back into"" questions as much as I went along",,In most cases it understood a natural language query and gave a coherent response.
