name,session_id,worker_id,model,prompt,elapsed_time,num_queries,num_events,order_id,prompt_dataset,user_query,completion,query_type,query_index,clue_num,clue_direction,clue_type
crossword-31,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,31,NYT-1," ""substance similar to vinegar""
"," "")  The vinegar smell is due to the presence of acetic acid.""
",['keyword'],31,47,across,sense
crossword-32,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,32,NYT-1," ""cardinals nickname""
"," ""  The Cardinals are a professional baseball team based in St. Louis",['keyword'],32,41,down,
crossword-33,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,33,NYT-1," ""nickname for the cardinals baseball team""
"," ""  The Cardinals are a professional baseball team based in St. Louis","['close', 'meaning', 'phrase']",33,41,down,
crossword-34,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,34,NYT-1," ""nickname for the cardinals baseball team""
"," ""  The Cardinals are a professional baseball team based in St. Louis","['close', 'meaning', 'phrase']",34,41,down,
crossword-35,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,35,NYT-1," ""nickname for the cardinals baseball team the""
"," "" red birds  The Cardinals are a professional baseball team based in St. Louis","['close', 'meaning', 'completion']",35,41,down,
crossword-36,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,36,NYT-1," ""weight that ends in a """"z""""\""
"," ""  weightlossz""
","['lexical', 'phrase']",36,34,down,
crossword-37,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,37,NYT-1," ""spanish girlfriend""
"," ""  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  ""
","['exact', 'keyword']",37,3,down,
crossword-38,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,38,NYT-1," ""spanish girlfriend""
"," ""  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  Spanish girlfriend  ""
","['exact', 'keyword']",38,3,down,
crossword-39,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,39,NYT-1," ""what the name of a spanish girlfriend""
"," ""  Mi novia es española.""
",['question'],39,3,down,
crossword-40,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,40,NYT-1," ""desi arnez""
"," ""eder  desi arnezeder  desi arnezeder  desi arnezeder  desi arnezeder  desi arnezeder  desi arnezeder ""
",['keyword'],40,8,down,
crossword-41,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,41,NYT-1," ""ymca""
"," "".org  The YMCA is a nonprofit organization that provides youth development programs",['keyword'],41,10,down,
crossword-42,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,42,NYT-1," ""becoming acclimated""
"," "" to the new  environment  The new environment was very different from what I was used to. I had to  become acclimated to the new surroundings and learn the new culture.""
","['close', 'keyword']",42,9,across,definition
crossword-43,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,43,NYT-1," ""taking care of a dog""
"," ""  There are many things to consider when taking care of a dog",['phrase'],43,51,down,
crossword-44,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,44,NYT-1," ""babysitting a dog""
"," ""  If you are looking to babysit a dog",['keyword'],44,51,down,
crossword-45,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,45,NYT-1," ""name of babysitting a dog""
"," ""  dog sitting""
",['phrase'],45,51,down,
crossword-46,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,46,NYT-1," ""french """"a""""""
"," ""  The letter """"a"""" is pronounced like the """"a"""" in """"father"""".""
","['exact', 'keyword']",46,64,down,
crossword-47,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,47,NYT-1," ""a in french""
"," ""  comment prononcer la  How to say """"hello"""" in French  Bonjour""
",['keyword'],47,64,down,
crossword-48,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,48,NYT-1," ""blood grouping""
"," ""  A blood grouping is a classification of blood according to the presence or absence of certain antigens on the surface of red blood cells. The most important blood groupings are the ABO groupings","['close', 'keyword']",48,37,down,
crossword-49,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,49,NYT-1," ""wild guess""
"," "")  - a type of bread  Bagel""
","['exact', 'keyword']",49,36,across,
crossword-50,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,50,NYT-1," ""constest attempt""
"," "" to overthrow the government  The attempted coup d'état of 15 July 2016 was a failed military coup d'état against the government of Turkish President Recep Tayyip Erdoğan. The coup was launched by a faction of the""
","['close', 'keyword']",50,25,down,
crossword-51,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,51,NYT-1," ""whats the name of a wild guess""
"," ""  There is no such thing as a """"wild guess."""" A guess is a calculated estimate",['question'],51,36,across,
crossword-52,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,52,NYT-1," ""egad""
"," """,['keyword'],52,49,across,
crossword-53,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,53,NYT-1," ""lawyers organziation""
"," ""  A lawyers organization is a professional organization for lawyers. Lawyers organizations may provide a variety of services to their members",['keyword'],53,50,down,
crossword-00,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,0,NYT-2," ""Names of all Chief Justices.""
"," "" (1) The Chief Justice of Pakistan. (2) The Chief Justice of the Balochistan High Court. (3) The Chief Justice of the Islamabad High Court. (4) The Chief Justice of the Lahore High Court. (5) The Chief Justice of the""
","['meaning', 'phrase']",00,1,across,knowledge
crossword-01,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,1,NYT-2," ""Chief Justices of US Supreme Court""
"," ""  Court  Chief Justices of US Supreme Court  Court  Chief Justices of US Supreme Court  Court  Chief Justices of US Supreme Court  Court  Chief Justices of US Supreme Court  Court  Chief Justices of US Supreme Court  Court  ""
",['phrase'],01,1,across,knowledge
crossword-02,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,2,NYT-2," ""Was Roe a Chief Justice?""
"," ""  The Supreme Court’s 1973 Roe v. Wade ruling ",['question'],02,1,across,knowledge
crossword-03,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,3,NYT-2," ""What's a cart puller called?""
"," "" A cart puller is a device used to pull a cart. Cart pullers are also known as: cart pushers ",['question'],03,24,across,
crossword-04,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,4,NYT-2," ""What is found on an Atlas statue?""
"," ""  A:  Quick Answer  Atlas statues ","['close', 'question']",04,3,down,
crossword-05,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,5,NYT-2," ""What is an educated but not street smart person called?""
"," "" What is an educated but not street smart person called? Educated but not street smart person? What is an educated but not street smart person called? What is an educated but not street smart person called? What is an educated but not street smart person called? What is an educated but not street smart person called?""
",['question'],05,17,across,sense
crossword-06,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,6,NYT-2," ""Beano vs ?""
"," ""  Originally posted by sss Beano vs ?  Originally posted by sss Beano vs ?  Originally posted by sss Beano vs ?  Originally posted by sss""
",['question'],06,18,down,
crossword-07,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,7,NYT-2," ""Who is against Beano?""
"," ""  (Image by Unknown Owner) Details DMCA    The Beano comic ",['question'],07,18,down,
crossword-08,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,8,NYT-2," ""Who are the main characters in the Beano comic""
"," ""?  A:  Quick Answer  The main characters in the Beano comic are Dennis the Menace ",['question'],08,18,down,
crossword-09,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,9,NYT-2," ""What is measure of engine speed?""
"," "" What is use of speed sensor? What is use of tachometer? What is use of speedometer? What is use of speedometer? What is use of fuel level indicator? What is use of fuel gauge? What is use of fuel gauge? What is use of fuel gauge? What is use of fuel""
","['close', 'question']",09,18,down,
crossword-10,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,10,NYT-2," ""Does valedictorian get Summa?""
"," ""  Valedictorians ",['question'],10,4,down,
crossword-11,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,11,NYT-2," ""Synonym for wild guess""
"," "".  **side-to-side** _See_ sidelong.  **sidewise** _See_ sidelong.  **sidle** _See_ sidling.  **sidle up**""
","['meaning', 'keyword']",11,13,across,
crossword-12,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,12,NYT-2," ""Which band sang hungry like a wolf""
"," ""? What film and year did the song """"I Can See Clearly Now"""" come from? Who sang """"My Heart Will Go On""""? Which band sang """"I'm a Believer""""? Which band sang """"The Final Countdown""""? ""
",['question'],12,4,across,
crossword-13,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,13,NYT-2," ""synonym for command""
"," "". In unix ","['meaning', 'keyword']",13,19,across,
crossword-14,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,14,NYT-2," ""Another word for command""
"," "" is order. A command is an order. A command is an order to do something. 1. A command is an order. 2. A command is an order to do something. 3. A command is an order. 4. A command""
","['meaning', 'keyword']",14,19,across,
crossword-15,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,15,NYT-2," ""divine command""
"," "" theory ",['keyword'],15,19,across,
crossword-16,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,16,NYT-2," ""God's command""
"," "" to Abraham in Genesis 22 ",['keyword'],16,19,across,
crossword-17,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,17,NYT-2," ""what is extra life in gaming?""
"," "" Extra Life is a worldwide movement that raises money for Children's Miracle Network Hospitals. Participants fundraise year-round and pledge to game in support of their local Children's Miracle Network Hospital. Extra Life unites thousands of players around the world to play games in support of their local Children's Miracle Network Hospital. Since its inception in 2008 ","['close', 'question']",17,28,across,
crossword-18,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,18,NYT-2," ""video games extra life..""
"," ""...  Thursday ",['keyword'],18,28,across,
crossword-19,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,19,NYT-2," ""who chose red pill in movie matrix?""
"," "" if ur favorite movie is matrix and you watched the movie 3 times ",['question'],19,45,across,
crossword-20,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,20,NYT-2," ""Who chose red pill?""
"," ""  (Posted on 5/21/13 at 10:22 am)  Who chose red pill?  (Posted on 5/21/13 at 10:22 am)  Who chose red pill?""
",['question'],20,45,across,
crossword-21,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,21,NYT-2," ""science fiction award...""
"," ""                                                  ""
","['close', 'keyword']",21,46,across,
crossword-22,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,22,NYT-2," ""hugo award""
"," "" hugo award 2019 hugo award 2019 winners hugo awards 2019. hugo award hugo award hugo award 2019 nominees hugo award 2019 winners. hugo award hugo award hugo award 2019 hug""
",['keyword'],22,34,across,
crossword-23,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,23,NYT-2," ""kis tv starts with s""
"," ""hweta gupta ? kis tv starts with shweta gupta ? please confirm. Yes ","['lexical', 'phrase']",23,29,down,
crossword-24,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,24,NYT-2," ""actor patel""
"," "" daughter - sridevi s daughter sakshi patel s marriage date . actor patel daughter - sridevi s daughter sakshi patel s marriage date . actor patel daughter -""
","['exact', 'keyword']",24,59,across,
crossword-25,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,25,NYT-2," ""american actor patel""
"," "" family - patel family patel family patel family patel family . american actor patel family - patel family patel family patel family patel family . american actor patel family - patel family patel family""
","['close', 'keyword']",25,59,across,
crossword-26,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,26,NYT-2," ""japanese car""
"," "" brands list top 10 - Many automobile fanatics take pleasure in looking at programs as well as checking out publications that do testimonials on all type of autos. They go from supposed low-budget autos to very car. We read them ",['keyword'],26,60,across,
crossword-27,173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,0.0,1,2,27,NYT-2," ""cheese coating""
"," "" ","['exact', 'keyword']",27,62,down,
crossword-00,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,0,NYT-1," ""What is Persia called now""
"," ""?  The name Persia is no longer used to refer to the current territory of Iran.""
",['question'],00,1,across,knowledge
crossword-01,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,1,NYT-1," ""Can you tell me some insult words""
"," "" that are used to describe someone who is not a good person?  1. Pisspoor 2. slacker 3. nag 4. grumpy""
",['question'],01,5,down,
crossword-02,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,2,NYT-1," ""Houston school names""
"," ""  The following are school names in the United States of America.  Alamogordo ",['keyword'],02,68,across,
crossword-03,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,3,NYT-1," ""school names in texas""
"," ""  Humble Pie ",['keyword'],03,68,across,
crossword-04,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,4,NYT-1," ""Who is Arnaz that is associated with Lucy""
"," ""?   Arnaz is a stage name used by Lucille Ball and husband Desi Arnaz.""
",['question'],04,5,across,
crossword-05,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,5,NYT-1," ""vinegar substitues""
"," "" for vinegar  There are many substitutes for vinegar ",['keyword'],05,47,across,sense
crossword-06,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,6,NYT-1," ""UN location""
"," ""  The University of Utah  The University of Utah is a public research university located in Salt Lake City ",['keyword'],06,20,across,knowledge
crossword-07,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,7,NYT-1," ""United Nations headquarters""
"," "" in Geneva ",['keyword'],07,20,across,knowledge
crossword-08,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,8,NYT-1," ""What are cardinals sometimes called""
"," "" in the Catholic Church?  Cardinals are sometimes called """"the senior generation"""" in the Catholic Church because they are the generation that has been most active in the Church's life and has the most experience.""
",['question'],08,41,down,
crossword-09,61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,0.0,1,2,9,NYT-1," ""Cardinals basketball team called sometimes""
"," ""  The Cardinals are a professional basketball team that has played in the National Basketball Association (NBA) since 1970. The team is based in St. Louis ",['phrase'],09,41,down,
