session_id,worker_id,model,prompt,prompt_dataset,fluency,helpfulness,ease,joy,helpfulness_freetext,change_freetext,adjectives
151_2b6ff87b6bc0a2dd0ea067ac6b2b2c72_text-davinci,2b6ff87b6bc0a2dd0ea067ac6b2b2c72,InstructDavinci,151,ELECT,4,3,5,5,"It was slightly helpful, It actually gave me the exact answers I was looking for a few times which I was not expecting. ","not really, i tried asking it simple questions like synonyms and word similarities mostly to see if it can find a relevant clue that would help, in some cases it straight up gave me the exact answer. ","funny, adept, humorous, knowledgable"
151_fb9b9a7748de8c631f767eb1bc3d0ed2_text-babbage,fb9b9a7748de8c631f767eb1bc3d0ed2,InstructBabbage,151,ELECT,2,3,2,3,"I tried to phrase my questions so the AI would understand me, but I was not very successful.  The AI did not seem to understand what a synonym was, for example.  Really irritating was when I asked for an actress and it seemed as if the AI knew but would not give me the first name.  The AI did help with a few terms, however.  So, I'd rate it a little helpful.  ",Yes.  I learned that it did not understand what a synonym was.  I tried to ask it to list things which seemed the best way to handle it.  I learned I had to be very simple with my requests or it would not understand.  ,uncomprehending dense inept simple
151_03de12b6d418576c8872df1edb95eb3e_text-davinci,03de12b6d418576c8872df1edb95eb3e,InstructDavinci,151,ELECT,4,2,5,3,"Some of the AI's answers were completely wrong, over half of the time.", After I while I noticed that rewording what I wanted helped,Useless
151_8db7938432a2b08abf726c9fb7d58453_text-davinci,8db7938432a2b08abf726c9fb7d58453,InstructDavinci,151,ELECT,3,3,5,5,"I struggled to find a question that would make it helpful,",I tried and get more specific,knowledgeable
151_d5953bd8ede2b52b33fc9552ce66c495_davinci,d5953bd8ede2b52b33fc9552ce66c495,Davinci,151,ELECT,2,1,5,3,"answers werent' helpful, I think it gave me the answer I was looking for twice",I tried to phrase things differently so it would answer better,"childish, juvenile "
151_5c7cee0b29134f53518d8d3076f313af_ai2-jumbo,5c7cee0b29134f53518d8d3076f313af,Jumbo,151,ELECT,1,2,2,1,answers weren't useful or helpful,no,"random, generic, dumb"
151_44a24e802a24668609b2b158c3fccf3b_text-davinci,44a24e802a24668609b2b158c3fccf3b,InstructDavinci,151,ELECT,2,1,5,3,it gave almost no right answers,I started interacting less because I knew most answers and it was not giving me any.,unclear
151_11e6ce90187a0992ce2b81da1deeb69a_text-babbage,11e6ce90187a0992ce2b81da1deeb69a,InstructBabbage,151,ELECT,3,1,3,1,I found it unhelpful mostly.,"Yes, I tried to figure out every possible way to get the A.I. to understand what I was trying to ask. It was mostly a failure every time.","Annoying, frustrating, dumb."
151_47e281be2e734e70418e3f34ec8f7d8f_davinci,47e281be2e734e70418e3f34ec8f7d8f,Davinci,151,ELECT,1,1,1,1,None of the things I tried to ask it were remotely answered ,"Yes, I eventually gave up ","Slow, unsure "
151_181af1bbc0e776863f0bde69c0544b57_text-davinci,181af1bbc0e776863f0bde69c0544b57,InstructDavinci,151,ELECT,4,4,4,4,somewhat helpful,yes,"interesting, fun"
151_f164321ce3a627565978ad06d0652788_text-davinci,f164321ce3a627565978ad06d0652788,InstructDavinci,151,ELECT,4,3,4,3,It was helpful in a few places I needed actors names,"Once I got into the puzzle, I got into the puzzle mode of thinking and used it less","Responsive, human-like"
151_77a89d6d08e0670d8aa3ca078c3f3692_text-davinci,77a89d6d08e0670d8aa3ca078c3f3692,InstructDavinci,151,ELECT,4,4,3,4,"Figuring out how to phrase each question the best way to get the response you needed was the hardest part for me, but when I would get it phrased just right, the AI was very helpful in giving me answers I did not know.","Sort of, sometimes giving the AI how many letters were in the answer helped with getting the clue answer, sometimes it did not, so throughout the entire time I tried both ways of asking if I did not get the answer I needed from the first phrasing. So I guess yes, learning the easier ways to phrase things to get the answer I needed as I went a long seemed to get easier. ","Helpful, knowledgeable, nice"
151_7c8c79ab948dfab615629dd6fbf52ea0_ai2-jumbo,7c8c79ab948dfab615629dd6fbf52ea0,Jumbo,151,ELECT,1,1,1,1,was not answering my questions,no,boring
151_7ad3b8e52f3bcd6fe73b60dffa8de96d_davinci,7ad3b8e52f3bcd6fe73b60dffa8de96d,Davinci,151,ELECT,1,1,1,1,It didn't say anything useful and actually responded with a racist comment,no,useless
151_1efa54b20f866563f4dcffe6c6e15616_ai2-jumbo,1efa54b20f866563f4dcffe6c6e15616,Jumbo,151,ELECT,2,4,3,4,"It helped me on a few clues, but on some, the answers were nonsensical","No, after the first few answers were crazy sounding, I just gave up","dumb, distracted"
151_f2e0275de8e06b2d39c70fcd943f9a6a_ai2-jumbo,f2e0275de8e06b2d39c70fcd943f9a6a,Jumbo,151,ELECT,2,2,5,2,"The AI was mostly unhelpful. Maybe my questions weren't phrased correctly, but it seemed to just grab random text from various internet sources that had no correlation with my initial question.","A bit, yes. I did tend to repeat questions to it, but after receiving either the same or similar answers, I re-phrased them some.","irrelevant, confused, lost"
151_195990c4938f23724f483db8acadf15a_ai2-jumbo,195990c4938f23724f483db8acadf15a,Jumbo,151,ELECT,2,2,4,4,It did not understand simple questions at times.,I started to ignore it the more the puzzle went on.,Unpolished.
151_5ba35526f0ac49616dcad6d15a0e794d_davinci,5ba35526f0ac49616dcad6d15a0e794d,Davinci,151,ELECT,2,3,3,2,The AI helped me with at least 3 of the problems that I didn't know.,Many answers were unrelated and it gradually did help me with more questions but then went back to writing nonsense.,Confused
151_bfcc797fa87742e2f1060bcb3d814841_davinci,bfcc797fa87742e2f1060bcb3d814841,Davinci,151,ELECT,3,3,5,5,yes on some things but most of the time I had to change wording ,"Probably, I felt like I was chatting with a person on my end.","fun, quick"
151_443e51bca859b06229ef09a077a03e51_davinci,443e51bca859b06229ef09a077a03e51,Davinci,151,ELECT,1,1,1,1,Half of the time it didn't even address my question it just repeated what I said back multiple times. There was only ONE question that it actually helped with. Everything else was non-sense.,I didn't really use it that much after a while because it was not helpful.,"unhelpful, annoying, repetitive, frustrating"
151_a4cfee82480f25380b95822a8a765bdd_ai2-jumbo,a4cfee82480f25380b95822a8a765bdd,Jumbo,151,ELECT,3,3,3,2,didn't understand what we were doing well,"not really, i just tried to not use it as much as possible.","incompetent, boring, clueless, robotic"
151_ce38d304b1b8218f7084c2cbd7e29402_text-davinci,ce38d304b1b8218f7084c2cbd7e29402,InstructDavinci,151,ELECT,2,2,3,1,unhelpful,i tried to use terms that were more simple,"slow, wiki"
151_f3c05dfbf3ac009c47785366c75b3516_davinci,f3c05dfbf3ac009c47785366c75b3516,Davinci,151,ELECT,2,3,4,3,Just didn't give much good advice or didn't understand me.,I tried to be more specific over time.,"Simple,Dumb"
151_34a6c2bc151b3162c8158f48bda8c603_text-davinci,34a6c2bc151b3162c8158f48bda8c603,InstructDavinci,151,ELECT,3,3,4,3,"It gave me a couple good ideas, and knew of phrases that I didn't",,"Basic, intuitive, average"
151_ca8f171d201e05ab91f1f9c21ec5de41_text-babbage,ca8f171d201e05ab91f1f9c21ec5de41,InstructBabbage,151,ELECT,1,1,1,1,The AI Teammate was unhelpful because it always provided senseless answers to my questions.,"Yes, I tried to shorten my question when I found that the AI teammate misunderstood my question.","robotic, senseless, unknowledgeable"
151_a99cc1fc7dad6c51b6ef46f551e87154_ai2-jumbo,a99cc1fc7dad6c51b6ef46f551e87154,Jumbo,151,ELECT,3,4,5,3,There were some words that I needed a synonym for and the AI really did well for those!,I made sure to use quotation marks correctly to get better answers.,"helpful, quick, somewhat accurate"
151_41c9f58c5311a41acc6fff3c3c189610_ai2-jumbo,41c9f58c5311a41acc6fff3c3c189610,Jumbo,151,ELECT,4,3,5,2,"When I gave the AI some specific direction, it was somewhat helpful. However, it was quite inept at answering some of the tougher clues without prompting.","I tried to interact with the AI a lot at first. However, after a string of unhelpful answers, I decided to go it primarily alone.","Frustrating, rigid, immovable"
151_07f320faed67b2aece0fb3bde1f87998_text-babbage,07f320faed67b2aece0fb3bde1f87998,InstructBabbage,151,ELECT,3,3,5,3,It helped me find clues to the answer without giving me the answer.,I kind of learned how to better ask questions,"Confused, knowledgeable, unpredictable"
151_d77d60e197e1bd06f21d78aef779b54c_davinci,d77d60e197e1bd06f21d78aef779b54c,Davinci,151,ELECT,1,1,2,1,The AI did not provide any help at all. The answers were mostly gibberish,"Yes, I tried to ask questions in different ways, but it wasn't effective","unhelpful, useless"
151_4e1012899a3f6dbeb511b28f69fc4de7_davinci,4e1012899a3f6dbeb511b28f69fc4de7,Davinci,151,ELECT,2,2,4,1,"It may have helped on one or two items, usually it just typed nonsense.","I probably interacted with it less and less, since this was a puzzle I might have been able to finish on my own within 30 minutes, and it wasn't really helpful.","incompetent, random, inarticulate"
151_c6d5a13aeb1f43ff4724a28a95505338_ai2-jumbo,c6d5a13aeb1f43ff4724a28a95505338,Jumbo,151,ELECT,3,4,5,3,"they gave me plenty of clues and sometimes the direct answer, usually burried in a bunch of repeated text.","I did not change too much, I would sometimes ask them directly but reword the question or ask them related questions that might give me a clue or even the answer.",helpful
151_a9375b391c9034dd1cfbe0dae26e4a3c_davinci,a9375b391c9034dd1cfbe0dae26e4a3c,Davinci,151,ELECT,4,5,4,5,"Once I put in the correct verbiage, AI was able to give me some pretty straight answers","Yes, once I realized my questions or statements was not precise enough, I switched how I wrote my sentences or questions.","knowledgeable, smart"
151_f3cce8c83fed3f1d9216ea35efa1d765_ai2-jumbo,f3cce8c83fed3f1d9216ea35efa1d765,Jumbo,151,ELECT,3,3,3,3,It solved one word for me.,I tried to be as specific as possible to avoid tangents,"making an effort, trying, meaning well"
151_9cab0b70602ada54d34062999dfc98d7_text-davinci,9cab0b70602ada54d34062999dfc98d7,InstructDavinci,151,ELECT,4,2,5,3,it could never give me good answers,"yes, i realized it could not give me answers so i relied on myself mostly","ignorant, helpful"
151_af3f7188d260a53a70617fe04b0ede2f_ai2-jumbo,af3f7188d260a53a70617fe04b0ede2f,Jumbo,151,ELECT,1,2,2,1,It mostly gave me nonsense answers that made no sense.,"Yes, I tried in both question and non-question formats. Neither really worked well. I would also try to bait the correct answer out of the AI for the questions I already knew, and that rarely worked.","Bad, misunderstanding."
151_38ea1a52e9068b7b16b159d77139ee61_text-babbage,38ea1a52e9068b7b16b159d77139ee61,InstructBabbage,151,ELECT,3,5,3,3,"The AI was helpful in situations where I thought that I knew the answer, but I wanted to double check.  It was also helpful in areas where I had no knowledge in certain areas.  The AI helped to provide me enough information to answer the questions.","No.  I alternated between using full sentence questions, key words, and short phrase throughout the puzzle. ",Knowledgeable. Useful.  Interesting. 
151_8e9d2087b37a3bd7ec2e61d57fef253c_text-babbage,8e9d2087b37a3bd7ec2e61d57fef253c,InstructBabbage,151,ELECT,3,3,5,3,The AI was great for verifying information that I asked. It was not helpful at times because it gave completely useless information.,"As time went on, I used the AI to verify my assumptions.",inconsistent
151_1e6a88420b942084b82e6758f73315f8_text-babbage,1e6a88420b942084b82e6758f73315f8,InstructBabbage,151,ELECT,2,1,2,1,It repeated the question or gave me a totally unrelated answer,no,"unhelpful, useless"
151_8d48c2ee0596126c8f36408fb15b7a8a_ai2-jumbo,8d48c2ee0596126c8f36408fb15b7a8a,Jumbo,151,ELECT,2,2,3,1,The teammate spoke some gibberish and did not seem to understand my questions. It was helpful once or twice but it did not seem to understand me very well.,not really I kept trying it but it did not improve,"unfocused, confused"
151_ddb694ab7e8cbbcdc1f8c144d35a4bb0_davinci,ddb694ab7e8cbbcdc1f8c144d35a4bb0,Davinci,151,ELECT,2,2,3,2,"I just could not get responses back that fitted what I was seeking.  On some questions I tried at least five way of reframing the question to no avail.  It seems, to me, that it works for very basic questions, but no so much when the questions can be taken many ways.","Different types of questions need different ways of asking them, I tried many ways, but did not feel I found the optimal version.","Frustrating, unclear, mystifying, unhelpful"
151_2d73732a265ef52a41ffac8b90c9102f_text-davinci,2d73732a265ef52a41ffac8b90c9102f,InstructDavinci,151,ELECT,2,2,2,1,"I don't know if it was the difficulty of the puzzle that made the AI appear less helpful, or not. I simply couldn't get across what I needed in information. I think googling would have been easier than dealing with the AI. It can't seem to consolidate information to obtain an answer","I continued to try and get information, but I would try multiple questions or phrases to obtain an answer instead of just one","frustrating, irritating, annoying"
151_bbeffde989f18ac2b24708a4519045e1_text-davinci,bbeffde989f18ac2b24708a4519045e1,InstructDavinci,151,ELECT,2,1,1,1,"Never once was an answer sensible. I tried repeatedly, to no avail. This is worse than any I have ever done.","it disintegrated over time. I became more and more upset, realizing fully that any time spent asking a question would be better spent screaming into the void. Before at least I would get one cogent answer to a question that MIGHT have helped. Today was a zero.","inept, unable, incomprehending, incomprehensible."
151_b3d7cef6025c405a32e821b15d0da84c_text-davinci,b3d7cef6025c405a32e821b15d0da84c,InstructDavinci,151,ELECT,5,4,5,4,The teammate did have some answers for me that were correct.,It did not change. I ran a lot of my questions by the AI first when I was not sure and wanted to see what they had to say about it ,"Useful, helpful, smart"
151_2cf775109e6a8e128d74e2deb2ba5cb1_davinci,2cf775109e6a8e128d74e2deb2ba5cb1,Davinci,151,ELECT,1,1,4,1,I don't think I got a single answer from the AI,I tried not to use it as much as possible since it gave me no useable info.,"disappointing, frustrating, lackluster"
151_a1e2e44d9dab5c113b33caabeb9bd7e7_text-babbage,a1e2e44d9dab5c113b33caabeb9bd7e7,InstructBabbage,151,ELECT,3,3,5,4,"At times the AI would give me several answers that were not the correct answer, but it would help me figure out the answer. A few times it did give me the answer right away, which was helpful. But it seemed like the majority of the time the AI would just repeat itself or tell me what something did, not really answer what I asked.","No, I just tried to rephrase questions if the AI was not giving me an answer. ","friendly, helpful, eager, kind"
151_f4046292f4f79e6d06ae7386fe779c32_davinci,f4046292f4f79e6d06ae7386fe779c32,Davinci,151,ELECT,1,1,3,2,Most of the answers it gave to me were gibberish or they just repeated the question back to me in a repeated fashion.,"It changed in the sense that I tried different formats of questions and question methods, but eventually I stopped using it much because it wasn't giving me any useful answers except for two (about Filipino currency and a Filipino actor)","unhelpful, nonsense, silly"
151_b544f1b08cda68d4a328958398b4173b_text-davinci,b544f1b08cda68d4a328958398b4173b,InstructDavinci,151,ELECT,4,4,5,5,"I have done a few of these crosswords, and this time the AI Teammate was much more helpful! It was able to give me the correct answer with one or two clues quite often. ","Sometimes, giving a clue that was completely different to the actual crossword clue was helpful","Helpful, Useful, Intelligent"
173_1e6a88420b942084b82e6758f73315f8_text-babbage,1e6a88420b942084b82e6758f73315f8,InstructBabbage,173,NYT-2,2,1,2,1,They did not answer my question correctly even once and I tried at least 12 times.,no,"unhelpful, useless"
173_34a6c2bc151b3162c8158f48bda8c603_davinci,34a6c2bc151b3162c8158f48bda8c603,Davinci,173,NYT-2,4,3,4,3,They came up with a few answers and trivia that helped,,"Roundabout, partial"
173_bbeffde989f18ac2b24708a4519045e1_davinci,bbeffde989f18ac2b24708a4519045e1,Davinci,173,NYT-2,1,2,1,2,In no case but one was there any help and it was only to verify that I had guessed already correctly.,"The worse things got, the more irritated I was and the less I bothered.","frustrating, repeating, mimicking only"
173_2d73732a265ef52a41ffac8b90c9102f_text-davinci,2d73732a265ef52a41ffac8b90c9102f,InstructDavinci,173,NYT-2,3,3,4,2,"I found it easier to rephrase my requests for this particular puzzle. I knew more of the clues myself so that was better for me to get help from the AI by suggesting letters, etc",I interacted the same during the entire puzzle. I solved quite a few on my own then looked to the AI to help,"concrete, strict, one directional"
173_d36fe703f1189117a8acc76e3d2bae58_text-davinci,d36fe703f1189117a8acc76e3d2bae58,InstructDavinci,173,NYT-2,5,5,5,4,I got quick answers and most of them were what I needed to know,"No, I had to rephrase a few times but I mostly got what I needed from the outset","Quick, helpful, knowledgeable"
173_97015de7c03d7318af400145a2e053ae_ai2-jumbo,97015de7c03d7318af400145a2e053ae,Jumbo,173,NYT-2,4,3,4,3,"In terms of helpful, some of the queries I input for the AI were answered well, with the right information I needed for the clue answers. In other instances, the AI would provide me with answers that had nothing to do with my queries. The AI would respond with information that had nothing to do with my questions. The AI would also respond with a lot of information that was either related or not to the answer of my query. I had to read through a few sentences to find the answer or information I need on many occassions. The AI would also fail to answer the query at all in some cases as well.","As the puzzle went on, I tried to ask questions that were related to specific details of the clue, so that the AI would provide me with information that would help me find the answer I needed. Or I would try to rephrase the clue, so that the AI would understand what I needed better. ","specific, unrelatable"
173_4cc14c46cbd6625508879475c8faba2c_davinci,4cc14c46cbd6625508879475c8faba2c,Davinci,173,NYT-2,4,4,5,4,It was able to answer my queries even when I made spelling errors or used incomplete sentences,"I tried asking the AI by just typing words I wanted more information about. Other times, I used full sentences to help it narrow down more specific results","fast, useful, intuitive"
173_ca8f171d201e05ab91f1f9c21ec5de41_text-babbage,ca8f171d201e05ab91f1f9c21ec5de41,InstructBabbage,173,NYT-2,2,2,2,1,The  AI Teammate was not able to provide an accurate answer for most questions.,"Yes, I changed the way to interact with the AI Teammate several times by using a different question structure and using the word ""you"".","robotic, inefficient, boring"
173_4f79c3ae884ab24ae11c80ad424a8a5e_text-davinci,4f79c3ae884ab24ae11c80ad424a8a5e,InstructDavinci,173,NYT-2,3,3,5,3,"I found the AI helpful at times, and other times not so helpful, but maybe I didn't ask the best questions all the time.",I consulted the AI whenever I didn't know the answer or needed some help.,"helpful, knowledgeable, fast"
173_cb9564a86f8e811b6767152bd6bf090c_davinci,cb9564a86f8e811b6767152bd6bf090c,Davinci,173,NYT-2,3,4,4,3,"The AI definitely came up with some factual answers that I couldn't have gotten on my own, but many other times it gave me confusing or even incorrect answers","I kept trying to ask questions in a variety of ways, when I noticed that it was getting confused.  I quickly realized that I couldn't use a conversational tone such as ""What's a three letter word for..."" because the AI could not understand. ","Booksmart, Naïve, Befuddled"
173_ddb694ab7e8cbbcdc1f8c144d35a4bb0_ai2-jumbo,ddb694ab7e8cbbcdc1f8c144d35a4bb0,Jumbo,173,NYT-2,3,3,2,3,"It's all about getting the questions written right, even a small change, one less or more words can be the difference between a right answer or a nonsensical one.  ",Only in that I came to realize that if I got an answer that did not fit I could make minor changes to the question and get a better response.,"Odd, frustrating, particular, demanding."
173_2cf775109e6a8e128d74e2deb2ba5cb1_davinci,2cf775109e6a8e128d74e2deb2ba5cb1,Davinci,173,NYT-2,1,1,3,1,I got virtually no usable answer regardless of how I framed my question,I try to do as much as I can on my own because I doubt the AI's abilities,"frustrating, lackluster, disappointing"
173_11c58d49972d7e0363017954352a5398_ai2-jumbo,11c58d49972d7e0363017954352a5398,Jumbo,173,NYT-2,4,3,4,3,"for the most part, they weren't very helpful, but there were a few times that I was able to use it to confirm my guess","yes, I learned that fill in the blank type questions worked best",mechanical
173_89a78d3c80359f21033b807b61a9abcf_text-babbage,89a78d3c80359f21033b807b61a9abcf,InstructBabbage,173,NYT-2,3,1,2,1,It couldn't answer basic questions.  I don't think I got any answer from it.  The answers I did get were wrong.,"Yes, I interacted less and less with it.","incompetent, inefficient, wrong"
173_b544f1b08cda68d4a328958398b4173b_text-davinci,b544f1b08cda68d4a328958398b4173b,InstructDavinci,173,NYT-2,4,4,5,5,The AI Teammate was able to answer quite a few clues,"If the first clue wasn't enough, I tried a different clue","Helpful, Useful, Handy, Friendly"
173_3bb88fa74ae81dede071856089a66b8b_ai2-jumbo,3bb88fa74ae81dede071856089a66b8b,Jumbo,173,NYT-2,2,2,2,2,It wasn't always answering my questions.,"No, I probably should have interacted with it differently.",Random
173_a99cc1fc7dad6c51b6ef46f551e87154_text-babbage,a99cc1fc7dad6c51b6ef46f551e87154,InstructBabbage,173,NYT-2,4,4,5,3,There were some good answer generalizations that helped point me towards the right answers,"rather than asking outright questions, I hinted around to get better hints.","helpful, smart"
173_96b19ae60136ad20bd29e974a88e29ab_ai2-jumbo,96b19ae60136ad20bd29e974a88e29ab,Jumbo,173,NYT-2,2,2,4,2,unhelpful for the most part,I tried to make my searches more specific than general.,"unhelpful, lost, clueless, wrong, lousy"
173_9cf53ac9fa5451a616d830159b722731_text-babbage,9cf53ac9fa5451a616d830159b722731,InstructBabbage,173,NYT-2,2,2,3,2,Because I couldn't word questions in a way where the AI would find relevant information for me.,no,"Confusing, confused, unhelpful"
173_1233e6143e7d61fd76e9682ace6dff81_ai2-jumbo,1233e6143e7d61fd76e9682ace6dff81,Jumbo,173,NYT-2,2,1,2,1,The AI didn't give me any helpful answers at all.,"Yes, I stopped relying on the AI and used my own brain instead.",Frustrating
173_2b6ff87b6bc0a2dd0ea067ac6b2b2c72_text-babbage,2b6ff87b6bc0a2dd0ea067ac6b2b2c72,InstructBabbage,173,NYT-2,2,1,4,2,It gave responses that gave me no clues toward the answer nor made any sense on a lot of questions. it just talked about a random fact or something,I asked it what clues might be the answer and asked it straight up what the answer might be just to see what answer it would provide.,"Dumb, random, strange, unexpected"
173_b16d184a9ec2a92d1dd5962a0221c92e_text-davinci,b16d184a9ec2a92d1dd5962a0221c92e,InstructDavinci,173,NYT-2,4,4,5,3,I was able to get some good answers from it,No,"fast, responsive,"
173_2fa9c0b69f72f7c7014397b782bc9725_ai2-jumbo,2fa9c0b69f72f7c7014397b782bc9725,Jumbo,173,NYT-2,4,3,4,3,Because they explained everything well.,Yeah i used it with words that i was not familiar with.,"Nice, helping"
173_4627e3cfe1ba153c1702cf99c0f9f87c_ai2-jumbo,4627e3cfe1ba153c1702cf99c0f9f87c,Jumbo,173,NYT-2,2,2,3,3,It wanted to refer me to other places.,No,"wrong, strange "
173_3325f9b2b809ec0c2ceb8ee0dc5f0f99_text-davinci,3325f9b2b809ec0c2ceb8ee0dc5f0f99,InstructDavinci,173,NYT-2,4,4,3,3,"Some of the answers were very substantial and comprehensive. Other answers were non-sensical. I may have copy-pasted some of the clues for AI to answer, though",Yes. I started by mostly copy/pasting clues direct from the puzzle. And this worked much of the time. I changed it up to try getting better responses.,"helpful, thorough, unpredictable, comprehensive."
173_4e1012899a3f6dbeb511b28f69fc4de7_text-davinci,4e1012899a3f6dbeb511b28f69fc4de7,InstructDavinci,173,NYT-2,3,3,4,2,"It came up with correct answers occasionally; however it also came up with a couple convincing wrong ones, though more rarely.",I don't think it changed much this time.,"inconsistent, mediocre, limited"
173_ec3d0077dfec47eea16e366db5d624f0_text-davinci,ec3d0077dfec47eea16e366db5d624f0,InstructDavinci,173,NYT-2,3,4,5,4,Helped either outright or the answer sparked a clue for me to get the answer. ,"If I didn't think it knew the answer, I'd ask another way to try and get a clue answer.","quick response, immediate, prompt"
173_f8e50d03683365968e692b095d3053e4_text-davinci,f8e50d03683365968e692b095d3053e4,InstructDavinci,173,NYT-2,5,3,5,3,some answers helped jog my memory even if they were not right,no,"misguided, wordy"
173_d26076ae9160f6c461f1b84d75ff5c32_ai2-jumbo,d26076ae9160f6c461f1b84d75ff5c32,Jumbo,173,NYT-2,2,2,1,2,Didn't answer my questions right.,No.,annoying
173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,NYT-2,2,2,3,3,I think it was helpful just once or twice. ,"I tried rewording my questions, but it didn't help.","Young, confused, "
173_97d2cbfd1df5842a08eb67fbd8a81979_text-babbage,97d2cbfd1df5842a08eb67fbd8a81979,InstructBabbage,173,NYT-2,2,2,3,1,"They didn't really help me answer many questions, and instead were usually way off topic.",I tried to use it less because it very rarely was of any help.,"useless, wrong, confused"
173_9d3be6f73dde4cb09b97998e84c8a93f_text-davinci,9d3be6f73dde4cb09b97998e84c8a93f,InstructDavinci,173,NYT-2,4,4,5,4,Gave very good clues on solving the puzzles.,"Remained the same the majority of the task, which was always helpul.","Interesting, Indepth, Suprising, Helpful"
173_37186b9126632a869f52bfd51939be64_text-davinci,37186b9126632a869f52bfd51939be64,InstructDavinci,173,NYT-2,4,3,5,4,I was able to answer some things that I couldn't figure out along with the AI's help.,No.,"Helpful, knowledgeable."
173_1efa54b20f866563f4dcffe6c6e15616_text-babbage,1efa54b20f866563f4dcffe6c6e15616,InstructBabbage,173,NYT-2,4,2,4,5,"There wasnt a lot of ""factual"" questions, mostly ""thinking outside the box"" whih the AI is terrible at",No,"knowledgable, ast"
