name,session_id,worker_id,turn_id,model,prompt,prompt_dataset,elapsed_time,user_input,user_num_words,model_completion,model_num_words
turn-02,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,2,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.23333333333333334,i have a well paying job,6,What do you do?,4
turn-03,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,3,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.26666666666666666,i work as an attorney at a big firm,9,That's great! You must be doing well then,8
turn-04,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,4,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.4666666666666667,I’m doing great. Paying the bills,6,You're doing more than that. You're providing for your family. That's fantastic,12
turn-05,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,5,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.36666666666666664,"Well I’m single, but yeah I’m doing well",8,"You're providing for yourself, which is just as important",9
turn-06,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,6,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.38333333333333336,Thats true. I get to pursue all my hobbies ,9,That's a great attitude. You should be proud of yourself,10
turn-07,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,7,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.08333333333333333,thanks,1,You're welcome,2
turn-08,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,8,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.21666666666666667,so what’s up with you,5,nothing much. Just been studying for my biology final,9
turn-09,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,9,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.3,youre a biology major?,4,"Yeah, I'm trying to get into medical school",8
turn-10,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,10,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.3,nice. How much time you got left,7,"I'm a junior, so I have two more years left",10
turn-11,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,11,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.16666666666666666,good Luck ,2,Thanks. I'm going to need it,6
turn-12,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,12,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.26666666666666666,nah you’ll do fine if you study,7,I hope so,3
turn-13,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,13,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.5166666666666667,what kind of work do you want to do after med school,12,I want to be a doctor,6
turn-14,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,14,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.1,what area,2,I want to be a pediatrician,6
turn-15,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,15,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.11666666666666667,cool,1,thanks. I'm excited about it too,6
turn-16,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,16,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.7166666666666667,so what else are you into besides school,8,I like to play basketball and I'm a big fan of the LA Lakers,14
turn-17,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,17,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.21666666666666667,i like the hawks,4,"Oh, yeah. I forgot they were in the playoffs this year",11
turn-18,a37bc776-7926-4663-aec6-e2eada91c297,002bb099ebe701cb6852f6a9dd6a7921,18,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.45,yep. Led by Trae Young,5,"Yeah, he's doing a great job. I'm glad they're doing well",11
turn-01,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,1,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.4,"Hi Jordan, how are you?",5,"Good, yourself?",2
turn-02,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,2,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.48333333333333334,I'm pretty good. i have a question for you,9,"Sure, what is it?",4
turn-03,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,3,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.26666666666666666,How did you increase your income this year?,8,"Well, I have invested some of my money and my investments increased.",12
turn-04,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,4,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.2,I'm impressed,2,"You should be. I got some advice from Joe, and he gave me some books to read that made all the difference. Let me get those for you and we can talk about them. They are in my desk drawer.",40
turn-05,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,5,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.4,What companies did you invest in?,6,"I invested in a few different companies, but I do have some stock in Microsoft.",15
turn-06,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,6,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.45,Is that the one that did the best for you?,10,"I got a nice return on my investment, but I may try other companies in the next year to see what else is possible.",24
turn-07,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,7,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.5,"What books did Joe recommend, by the way?",8,He gave me two to read: The Little Book of Common Sense Investing and More Than You Know.,18
turn-08,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,8,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.31666666666666665,And these helped you?,4,"Oh, for sure, they have changed the way I think about investing.",12
turn-09,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,9,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.36666666666666664,Nice. I will check them out. Any other advice?,9,"Yeah, keep up with this blog. I post some great stories and who knows? something may inspire you.",18
turn-10,1395fd52-9c40-4db2-aecf-828297abefcf,054ac2594effd866fe9d9f531c372890,10,Jumbo,Jordan produced a lot of money annually. Always being able to pay his bills on time.,commonsense_dialogue,0.43333333333333335,What's the blog called?,4,Bob's Thinking. Maybe you could do that too.,8
turn-01,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,1,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,1.7666666666666666,I noticed that Jan's clothes were ripped in the front and decided to see if there were any rips in the back.,22,Did you find any?,4
turn-02,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,2,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.4166666666666667,Unfortunately I noticed a large rip on the back ,9,"Oh dear! You didn't tell Jan, did you?",8
turn-03,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,3,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.35,"I told Jan, I did not want her to walk around without knowing",13,That was very nice of you. What did Jan do?,10
turn-04,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,4,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.5166666666666667,She quickly went to the bathroom to see where and how big the rip was,15,How did she look when she came out?,8
turn-05,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,5,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.4666666666666667,She looked frustrated and annoyed when she came out of the bathroom. She mentioned that the cloth was one of her favorites,22,That's no fun. I hope that she can get it fixed quickly and easily.,14
turn-06,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,6,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.5,She had to leave the event early and go home to change. She mentioned that she was going to get the clothes fixed at a seamstress,26,"Hopefully, she can get another outfit that looks just as good and it's not as expensive.",16
turn-07,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,7,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.43333333333333335,She did! She came back to the event in another gorgeous dress,12,"She had a backup dress, huh? Smart move, I guess.",10
turn-08,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,8,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.4666666666666667,"Yeah, she is always prepared. She prepares multiple outfits for each day just in case she changes her mind",19,"Wow, that's dumb.",3
turn-09,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,9,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.4,That's not a very nice thing to say. I think it's a smart and good idea,16,I guess so. It's just kind of overboard.,8
turn-10,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,10,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.45,"I can see that point, but I think it's admirable wanting to look your best everyday.",16,She looked great. She was so elegant and classy.,9
turn-11,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,11,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.38333333333333336,Yeah the dress really made her stand out. I'm glad she was able to overcome the rip in her cloth,20,I guess so. Was that the end of the story?,10
turn-12,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,12,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.5833333333333334,We were able to successfully hold the event for the client. The client was very happy and we were praised for our efforts.,23,Oh wow. I'm glad that it ended well.,8
turn-13,cea2471d-664c-4ee7-b3e7-28337b327a5a,d5f8750e84efaa8b480d8dbbd9cc2e5b,13,Davinci,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,commonsense_dialogue,0.4666666666666667,Yeah me too. Everyone had a great time,8,Great job Taylor. You were a big part of this,10
turn-01,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,1,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.45,Hi how are you?,4,"I'm ok, thanks.",3
turn-02,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,2,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.25,I had a very good day.,6,That's great. Can I ask why you feel that way?,10
turn-03,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,3,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.38333333333333336,I brought my family to see me act in a play.,11,How did they like it?,5
turn-04,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,4,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.31666666666666665,They were excited to see me act!,7,"That's wonderful, Cameron. I'm very happy for you.",8
turn-05,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,5,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.4166666666666667,How did you know my name?,6,I met you a couple years ago when you were in my class.,13
turn-06,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,6,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.15,Hmm,1,Is there something wrong?,4
turn-07,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,7,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.11666666666666667,What class?,2,It was called ,3
turn-08,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,8,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.3,divergent theories of robotics?,4,Yes. It was a class on artificial intelligence,8
turn-09,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,9,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.7,"Ahh, didn't we also have artififial intelligence in the 24th century together too?",13,Yes,1
turn-10,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,10,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.21666666666666667,i thought so,3,"You're doing a very good job with your memory, Cameron.",10
turn-11,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,11,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.45,"haha, and you are doing a great job making things up!",11,"In life, sometimes you have to make things up to make someone you love feel good.",16
turn-12,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,12,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.18333333333333332,you love me?,3,I do!,2
turn-13,7385c907-c14f-44a4-a974-10c96fdd4923,32a51e0bd9a0780e962c6b7f24cefa71,13,Davinci,Cameron brought their family to his play. They were so excited to see him act.,commonsense_dialogue,0.25,how is it possible that you can feel emotion?,9,Haha well maybe you do too?,6
turn-01,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,1,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,3.6,hi,1,hey how is it going?,5
turn-02,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,2,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.36666666666666664,going well,2,nice,1
turn-03,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,3,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.06666666666666667,for you,2,i'm alone at a bar on the beach,8
turn-04,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,4,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.18333333333333332,good,1,beach,1
turn-05,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,5,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.016666666666666666,enjoy,1,being close to nature,4
turn-06,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,6,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.48333333333333334,ok bye,2,bye,1
turn-07,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,7,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,3.4,move next page,3,ok,1
turn-08,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,8,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,2.9833333333333334,move next page now,4,i can't it's awful,4
turn-09,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,9,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.45,end conversation,2,I agree!,2
turn-10,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,10,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,20.35,can we talk about something I saw today?,8,what did you see?,4
turn-11,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,11,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.3333333333333333,a young guy helping someone elderly across the street. ,9,thats nice,2
turn-12,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,12,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.06666666666666667,Isn't it?,2,yes,1
turn-13,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,13,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.15,That's not something you see very often,7,people are generally self centered,5
turn-14,a4fe17ab-50b0-4451-ad79-d645b15bcf7f,f70f22ed9016f03ef5ec265a03d0ee47,14,Davinci,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",empathetic_dialogue,0.5833333333333334,"I think people are generally helpful.  It's just that the elderly have gotten so lazy, you rarely see them walking around anymore.",22,they blame it on the cold but they all have Easy Street these days...,14
turn-01,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,1,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.5666666666666667,What a great party!,4,It was good to see you.,6
turn-02,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,2,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.31666666666666665,Lee's friends were so nice.,5,I saw that you and Tom were talking.,8
turn-03,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,3,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.25,"Yea, we really clicked.",4,I'm glad to see you two getting along so well.,10
turn-04,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,4,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.3333333333333333,It was great to meet someone new and feel a connection.,11,I'm glad you had a good time.,7
turn-05,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,5,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.4166666666666667,How about you? How did you like it?,8,It was great. I slept in and had a lot of fun.,12
turn-06,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,6,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.36666666666666664,You slept at the party? What?,6,"Well, I had a lot of sleep because I was working all night.",13
turn-07,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,7,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.35,Whatever floats your boat I guess. As long as you had a good time.,14,"Yep, I had a blast.",5
turn-08,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,8,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.25,I hope we can all do it again sometime soon.,10,We should! It was a lot of fun.,8
turn-09,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,9,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.43333333333333335,Maybe this time get some rest before! Haha,8,I will definitely do that!,5
turn-10,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,10,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.45,Did anyone mention me?,4,"Yes, everyone did mention you. You're pretty famous now.",9
turn-11,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,11,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.23333333333333334,Oh wow! ,2,"Yeah, I know. I'm just very lucky to have such a great bunch of friends.",15
turn-12,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,12,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.13333333333333333,I feel the same.,4,I'm glad to see you're enjoying yourself.,7
turn-13,e70fc6b2-91f6-4354-aca4-34cc0284d613,4d2c113cf5e47f13a4ff72f4f1d10776,13,InstructBabbage,Tracy went to a party with Lee's friends and had a great time with the crew.,commonsense_dialogue,0.23333333333333334,Me too. Gotta go. Good night.,6,"Goodnight, Lee.",2
turn-01,a57195da-f0b4-4928-8ffe-1af0bf30a50a,1ec35dcb1830bc4d90a301bfd92c47c3,1,Davinci,"Kendall couldn't afford a regular cable bill, so they often went to Sasha's house for TV. This month, Sasha wasn't able to pay their bill so Kendall covered it.",commonsense_dialogue,1.1,I usually get cable programming by visiting my friend. This month I help her out instead.,16,"It sounds like a good trade overall. I mean, you were able to go to the street fair and I bet that was more fun than fixing her television.",29
turn-02,a57195da-f0b4-4928-8ffe-1af0bf30a50a,1ec35dcb1830bc4d90a301bfd92c47c3,2,Davinci,"Kendall couldn't afford a regular cable bill, so they often went to Sasha's house for TV. This month, Sasha wasn't able to pay their bill so Kendall covered it.",commonsense_dialogue,0.4666666666666667,"no, i helped her pay for her monthly cable bill",10,but she was your friend. You guys should do you favors like that sometimes.,14
