session_id,worker_id,model,prompt,improvement,edit,helpfulness,adjectives
6c42a51fdbac4a0b974244b58bff3530,9cf53ac9fa5451a616d830159b722731,Jumbo,11,3,3,4,"Concise, basic, useful, fast, intelligent"
00ad533c251143bf820de08ccf9c8725,3f2765d5dac00b20a3159dc6f1432f53,Davinci,12,1,3,3,inconsistent
3caafccac759472a82d79b691936d4ab,3f2765d5dac00b20a3159dc6f1432f53,InstructDavinci,13,1,2,4,somewhat reliable
b3c70d27f61e42e8900c86495bc6636c,c38ce32f7841f2ec96e0da64598fbc02,InstructBabbage,14,2,4,4,succinct
0507b59d27aa4760a3a93b5d65dfa34f,96b19ae60136ad20bd29e974a88e29ab,Jumbo,15,3,2,4,"adequate, semi-skilled, imperfect"
64ba56d3fc4540df863570d80c59ef7b,08056b6e8b97845359fe858b973d8948,Davinci,16,2,4,2,"extrapolating, adding"
89e8c66168b34f9b935c0bf0c7cd71c5,3f2765d5dac00b20a3159dc6f1432f53,InstructDavinci,17,1,2,4,mostly reliable
bf3281a75e4343cd97d3d5c64c6cb6c3,3f2765d5dac00b20a3159dc6f1432f53,InstructBabbage,18,1,2,5,reliable
062c0e08f61d4cecbf5c361f54ca49fa,3f2765d5dac00b20a3159dc6f1432f53,Jumbo,19,1,3,3,somewhat reliable
6018bc194f8f47ba81737eed89fd7842,d77d60e197e1bd06f21d78aef779b54c,InstructBabbage,0,3,3,4,simple
5f7b6c99ae9643b7819ee80b3db2cce3,d77d60e197e1bd06f21d78aef779b54c,Jumbo,1,1,5,1,"useless, inconsistent"
6ba5b7e355d442a6af7fed4af5a1249b,f0b7bf81cff0f7f15757c1ac7f8ae746,Davinci,2,1,3,3,helpful; brief; clear; minimal
ed19bd65d7e94dfd969aa5d140eab155,f3cce8c83fed3f1d9216ea35efa1d765,InstructDavinci,3,5,3,5,"helpful, accurate"
7d706733bdf94fc483b8327eef3b42ed,07f320faed67b2aece0fb3bde1f87998,InstructBabbage,4,3,4,5,"smart, efficient, worthwhile"
8945ad0f6c034166bec7247511213548,b3d7cef6025c405a32e821b15d0da84c,Jumbo,5,4,2,5,"smart, helpful, consistent"
3af887d1376041dbbcd9f2d14b74cac0,ca8f171d201e05ab91f1f9c21ec5de41,Davinci,6,2,3,5,"concise, brief"
c459ee68cbfd40679cfd00e374a849a1,af3f7188d260a53a70617fe04b0ede2f,InstructDavinci,7,5,2,5,"Capable, useful, effective, well-done."
ec1499bad57d4b8a8449e4ed7c7ba7e1,38ea1a52e9068b7b16b159d77139ee61,InstructBabbage,8,2,3,4,"Concise, decent, good enough"
d9ec9c1f08094f99bf61b2cdd9bac9b7,b3d7cef6025c405a32e821b15d0da84c,Davinci,9,4,2,5,"helpful, smart, coherent"
b16e115cefad4b3c814fbc637b8565e6,4455389e51c490d7126cd4c048a03c66,InstructDavinci,10,5,4,2,"Simple, basic, barebones, rough"
c9c7d2a9d21e45ba8cafd524bfaf1de2,1e1f5577348f76027d7884815297109a,InstructBabbage,11,2,3,2,"basic, too simplified, ineffective, copy/paste"
382103dda6c142a9b7df9ef98611d69f,d36fe703f1189117a8acc76e3d2bae58,Jumbo,12,4,4,3,"Sloppy, unhelpful, unintuitive"
8d879bd873f84928ae4be005bebd8d69,c6d5a13aeb1f43ff4724a28a95505338,Davinci,13,1,5,1,broken
5f56416aaec647039081dc74dbfc85c0,f3cce8c83fed3f1d9216ea35efa1d765,Davinci,14,1,5,4,"Accurate, helpful"
f22070003ae34450831a5bc51fa3414d,bbeffde989f18ac2b24708a4519045e1,InstructDavinci,15,2,3,4,"good, intuitive, imperfect"
297c548f9c7245c980edfdc9942c0eb0,d77d60e197e1bd06f21d78aef779b54c,InstructBabbage,16,1,4,2,inconsitent
59bd28584dd248fe935e8656bff7f5aa,11c58d49972d7e0363017954352a5398,Jumbo,17,3,3,4,"brief, pithy, helpful"
f9df35cfe64342528767a4fcaa3afb8f,c6d5a13aeb1f43ff4724a28a95505338,Davinci,18,3,2,4,"decent, inconsistent (sometimes), potential"
be383690f0dc4df29c6ff086fdd1193d,7d5db56fea7ec3a3d8788b2fbd0e7c15,InstructDavinci,19,3,3,4,efficient natural
